csv_name,csv_kana,power_score,file,target_segment
伊達みきお（サンドウィッチマン）,ダテミキオ（サンドウィッチマン）,37.1,TPR_男性20～34_202508.csv,14
富澤たけし（サンドウィッチマン）,トミザワタケシ（サンドウィッチマン）,34.2,TPR_男性20～34_202508.csv,14
小峠英二（バイきんぐ）,コトウゲエイジ（バイキング）,33.6,TPR_男性20～34_202508.csv,14
日村勇紀（バナナマン）,ヒムラユウキ（バナナマン）,33.6,TPR_男性20～34_202508.csv,14
春日俊彰（オードリー）,カスガトシアキ（オードリー）,33.1,TPR_男性20～34_202508.csv,14
設楽統（バナナマン）,シタラオサム（バナナマン）,32.4,TPR_男性20～34_202508.csv,14
イチロー,イチロー,32.2,TPR_男性20～34_202508.csv,14
有田哲平（くりぃむしちゅー）,アリタテッペイ（クリィムシチュー）,31.3,TPR_男性20～34_202508.csv,14
秋山竜次（ロバート）,アキヤマリュウジ（ロバート）,30.4,TPR_男性20～34_202508.csv,14
ノブ（千鳥）,ノブ（チドリ）,30.2,TPR_男性20～34_202508.csv,14
B’z,ビーズ,30.2,TPR_男性20～34_202508.csv,14
若林正恭（オードリー）,ワカバヤシマサヤス（オードリー）,30.0,TPR_男性20～34_202508.csv,14
大竹一樹（さまぁ～ず）,オオタケカズキ（サマァ～ズ）,29.8,TPR_男性20～34_202508.csv,14
浜田雅功（ダウンタウン）,ハマダマサトシ（ダウンタウン）,29.3,TPR_男性20～34_202508.csv,14
大悟（千鳥）,ダイゴ（チドリ）,28.9,TPR_男性20～34_202508.csv,14
山崎弘也（アンタッチャブル）,ヤマザキヒロナリ（アンタッチャブル）,28.9,TPR_男性20～34_202508.csv,14
稲葉浩志（B’z）,イナバコウシ（ビーズ）,28.7,TPR_男性20～34_202508.csv,14
内村光良（ウッチャンナンチャン）,ウチムラテルヨシ（ウッチャンナンチャン）,28.7,TPR_男性20～34_202508.csv,14
松本人志（ダウンタウン）,マツモトヒトシ（ダウンタウン）,28.7,TPR_男性20～34_202508.csv,14
三村マサカズ（さまぁ～ず）,ミムラマサカズ（サマァーズ）,28.7,TPR_男性20～34_202508.csv,14
トシ（タカアンドトシ）,トシ（タカアンドトシ）,28.4,TPR_男性20～34_202508.csv,14
生見愛瑠（めるる）,ヌクミメル（メルル）,28.4,TPR_男性20～34_202508.csv,14
児嶋一哉（アンジャッシュ）,コジマカズヤ（アンジャッシュ）,28.2,TPR_男性20～34_202508.csv,14
原田泰造（ネプチューン）,ハラダタイゾウ（ネプチューン）,28.2,TPR_男性20～34_202508.csv,14
スピッツ,スピッツ,28.0,TPR_男性20～34_202508.csv,14
高橋茂雄（サバンナ）,タカハシシゲオ（サバンナ）,28.0,TPR_男性20～34_202508.csv,14
二宮和也（嵐）,ニノミヤカズナリ（アラシ）,28.0,TPR_男性20～34_202508.csv,14
博多華丸（博多華丸・大吉）,ハカタハナマル（ハカタハナマルダイキチ）,27.8,TPR_男性20～34_202508.csv,14
長谷川雅紀（錦鯉）,ハセガワマサノリ(ニシキゴイ),27.6,TPR_男性20～34_202508.csv,14
上田晋也（くりぃむしちゅー）,ウエダシンヤ（クリィムシチュー）,27.3,TPR_男性20～34_202508.csv,14
近藤春菜（ハリセンボン）,コンドウハルナ（ハリセンボン）,27.3,TPR_男性20～34_202508.csv,14
吉村崇（平成ノブシコブシ）,ヨシムラタカシ（ヘイセイノブシコブシ）,27.3,TPR_男性20～34_202508.csv,14
岡村隆史（ナインティナイン）,オカムラタカシ（ナインティナイン）,27.1,TPR_男性20～34_202508.csv,14
名倉潤（ネプチューン）,ナグラジュン（ネプチューン）,27.1,TPR_男性20～34_202508.csv,14
南原清隆（ウッチャンナンチャン）,ナンバラキヨタカ（ウッチャンナンチャン）,27.1,TPR_男性20～34_202508.csv,14
堀内健（ネプチューン）,ホリウチケン（ネプチューン）,27.1,TPR_男性20～34_202508.csv,14
桑田佳祐（サザンオールスターズ）,クワタケイスケ（サザンオールスターズ）,26.9,TPR_男性20～34_202508.csv,14
堂本剛（DOMOTO（KinKi Kids））,ドウモトツヨシ（ドウモト（キンキキッズ））,26.9,TPR_男性20～34_202508.csv,14
博多大吉（博多華丸・大吉）,ハカタダイキチ（ハカタハナマルダイキチ）,26.9,TPR_男性20～34_202508.csv,14
櫻井翔（嵐）,サクライショウ（アラシ）,26.7,TPR_男性20～34_202508.csv,14
タカ（タカアンドトシ）,タカ（タカアンドトシ）,26.7,TPR_男性20～34_202508.csv,14
長田庄平（チョコレートプラネット）,オサダショウヘイ（チョコレートプラネット）,26.4,TPR_男性20～34_202508.csv,14
北村匠海（DISH//）,キタムラタクミ（ディッシュ）,26.4,TPR_男性20～34_202508.csv,14
澤部佑（ハライチ）,サワベユウ（ハライチ）,26.4,TPR_男性20～34_202508.csv,14
鈴木誠也,スズキセイヤ,26.4,TPR_男性20～34_202508.csv,14
川島明（麒麟）,カワシマアキラ（キリン),26.2,TPR_男性20～34_202508.csv,14
山里亮太（南海キャンディーズ）,ヤマサトリョウタ（ナンカイキャンディーズ）,26.2,TPR_男性20～34_202508.csv,14
吉田敬（ブラックマヨネーズ）,ヨシダタカシ（ブラックマヨネーズ）,26.2,TPR_男性20～34_202508.csv,14
飯尾和樹（ずん）,イイオカズキ（ズン）,26.0,TPR_男性20～34_202508.csv,14
堂本光一（DOMOTO（KinKi Kids））,ドウモトコウイチ（ドウモト（キンキキッズ））,26.0,TPR_男性20～34_202508.csv,14
岩井勇気（ハライチ）,イワイユウキ（ハライチ）,25.8,TPR_男性20～34_202508.csv,14
太田光（爆笑問題）,オオタヒカリ（バクショウモンダイ）,25.8,TPR_男性20～34_202508.csv,14
小坂菜緒（日向坂46）,コサカナオ（ヒナタザカフォーティーシックス）,25.8,TPR_男性20～34_202508.csv,14
桜井和寿（Mr.Children）,サクライカズトシ（ミスターチルドレン）,25.8,TPR_男性20～34_202508.csv,14
田中裕二（爆笑問題）,タナカユウジ（バクショウモンダイ）,25.8,TPR_男性20～34_202508.csv,14
中岡創一(ロッチ),ナカオカソウイチ（ロッチ）,25.8,TPR_男性20～34_202508.csv,14
矢部浩之（ナインティナイン）,ヤベヒロユキ（ナインティナイン）,25.8,TPR_男性20～34_202508.csv,14
渡辺隆（錦鯉）,ワタナベタカシ(ニシキゴイ),25.6,TPR_男性20～34_202508.csv,14
相葉雅紀（嵐）,アイバマサキ（アラシ）,25.3,TPR_男性20～34_202508.csv,14
矢作兼（おぎやはぎ）,ヤハギケン（オギヤハギ）,25.3,TPR_男性20～34_202508.csv,14
