csv_name,db_name,account_id,match_ratio,power_score,target_segment_id,file
長野博,‎長野博,3811,fuzzy_0.86,14.0,9,TPR_男性12～19_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,13.0,9,TPR_男性12～19_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,12.0,9,TPR_男性12～19_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,12.0,9,TPR_男性12～19_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,11.3,9,TPR_男性12～19_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,11.3,9,TPR_男性12～19_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,11.0,9,TPR_男性12～19_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,10.7,9,TPR_男性12～19_202508.csv
大島美優,大島優子,47,fuzzy_0.75,10.0,9,TPR_男性12～19_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,9.7,9,TPR_男性12～19_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,9.3,9,TPR_男性12～19_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,9.0,9,TPR_男性12～19_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,8.7,9,TPR_男性12～19_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,8.7,9,TPR_男性12～19_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,27.3,10,TPR_女性12～19_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,21.0,10,TPR_女性12～19_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,20.7,10,TPR_女性12～19_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,17.0,10,TPR_女性12～19_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,16.7,10,TPR_女性12～19_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,16.0,10,TPR_女性12～19_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,15.7,10,TPR_女性12～19_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,14.7,10,TPR_女性12～19_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,11.3,10,TPR_女性12～19_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,11.0,10,TPR_女性12～19_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,9.3,10,TPR_女性12～19_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,7.0,10,TPR_女性12～19_202508.csv
大島美優,大島優子,47,fuzzy_0.75,6.7,10,TPR_女性12～19_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,6.7,10,TPR_女性12～19_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,22.9,11,TPR_男性20～34_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,21.6,11,TPR_男性20～34_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,21.1,11,TPR_男性20～34_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,21.1,11,TPR_男性20～34_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,21.1,11,TPR_男性20～34_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,20.9,11,TPR_男性20～34_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,20.7,11,TPR_男性20～34_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,19.6,11,TPR_男性20～34_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,18.4,11,TPR_男性20～34_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,17.6,11,TPR_男性20～34_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,16.4,11,TPR_男性20～34_202508.csv
大島美優,大島優子,47,fuzzy_0.75,14.4,11,TPR_男性20～34_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,11.6,11,TPR_男性20～34_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,11.6,11,TPR_男性20～34_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,26.0,12,TPR_女性20～34_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,24.9,12,TPR_女性20～34_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,22.4,12,TPR_女性20～34_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,21.6,12,TPR_女性20～34_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,21.3,12,TPR_女性20～34_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,16.4,12,TPR_女性20～34_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,15.8,12,TPR_女性20～34_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,14.0,12,TPR_女性20～34_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,11.3,12,TPR_女性20～34_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,10.0,12,TPR_女性20～34_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,8.9,12,TPR_女性20～34_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,6.2,12,TPR_女性20～34_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,5.6,12,TPR_女性20～34_202508.csv
大島美優,大島優子,47,fuzzy_0.75,5.1,12,TPR_女性20～34_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,17.6,13,TPR_男性35～49_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,17.1,13,TPR_男性35～49_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,16.7,13,TPR_男性35～49_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,14.2,13,TPR_男性35～49_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,13.3,13,TPR_男性35～49_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,12.7,13,TPR_男性35～49_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,10.7,13,TPR_男性35～49_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,10.4,13,TPR_男性35～49_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,9.1,13,TPR_男性35～49_202508.csv
大島美優,大島優子,47,fuzzy_0.75,8.0,13,TPR_男性35～49_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,6.7,13,TPR_男性35～49_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,5.1,13,TPR_男性35～49_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,4.2,13,TPR_男性35～49_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,4.2,13,TPR_男性35～49_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,31.3,14,TPR_女性35～49_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,28.9,14,TPR_女性35～49_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,27.6,14,TPR_女性35～49_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,26.0,14,TPR_女性35～49_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,21.3,14,TPR_女性35～49_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,18.9,14,TPR_女性35～49_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,18.7,14,TPR_女性35～49_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,16.9,14,TPR_女性35～49_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,14.7,14,TPR_女性35～49_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,9.3,14,TPR_女性35～49_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,9.1,14,TPR_女性35～49_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,6.2,14,TPR_女性35～49_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,6.0,14,TPR_女性35～49_202508.csv
大島美優,大島優子,47,fuzzy_0.75,5.6,14,TPR_女性35～49_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,17.3,15,TPR_男性50～69_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,16.7,15,TPR_男性50～69_202508.csv
