csv_name,db_name,account_id,match_ratio,power_score,target_segment_id,file
松尾駿（チョコレートプラネット）,チョコレートプラネット,2642,fuzzy_0.81,26.4,14,TPR_男性20～34_202508.csv
ナダル（コロコロチキチキペッパーズ）,コロコロチキチキペッパーズ,2909,fuzzy_0.84,26.0,14,TPR_男性20～34_202508.csv
Mrs.GREEN APPLE,Mrs.GREENAPPLE,4176,fuzzy_0.97,25.6,14,TPR_男性20～34_202508.csv
ディーン・フジオカ,ディーンフジオカ,271,fuzzy_0.94,24.0,14,TPR_男性20～34_202508.csv
King Gnu,KingGnu,3177,fuzzy_0.93,23.8,14,TPR_男性20～34_202508.csv
大森元貴（Mrs.GREEN APPLE）,Mrs.GREENAPPLE,4176,fuzzy_0.80,23.3,14,TPR_男性20～34_202508.csv
back number,backnumber,2838,fuzzy_0.95,23.1,14,TPR_男性20～34_202508.csv
ミッツ・マングローブ,ミッツマングローブ,1624,fuzzy_0.95,22.4,14,TPR_男性20～34_202508.csv
Creepy Nuts,CreepyNuts,4684,fuzzy_0.95,22.2,14,TPR_男性20～34_202508.csv
Little Glee Monster,LittleGleeMonster,2689,fuzzy_0.94,21.8,14,TPR_男性20～34_202508.csv
King & Prince,King&Prince,2971,fuzzy_0.92,21.6,14,TPR_男性20～34_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,21.1,14,TPR_男性20～34_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,20.9,14,TPR_男性20～34_202508.csv
Hey! Say! JUMP,Hey!Say!JUMP,1632,fuzzy_0.92,20.7,14,TPR_男性20～34_202508.csv
ONE OK ROCK,ONEOKROCK,1769,fuzzy_0.90,20.7,14,TPR_男性20～34_202508.csv
三代目 J SOUL BROTHERS from EXILE TRIBE,三代目JSOULBROTHERSfromEXILETRIBE,525,fuzzy_0.91,20.4,14,TPR_男性20～34_202508.csv
SEKAI NO OWARI,SEKAINOOWARI,1796,fuzzy_0.92,20.2,14,TPR_男性20～34_202508.csv
EXILE TAKAHIRO,EXILETAKAHIRO,604,fuzzy_0.96,20.0,14,TPR_男性20～34_202508.csv
Travis Japan,TravisJapan,3774,fuzzy_0.96,19.8,14,TPR_男性20～34_202508.csv
横尾渉（Kis-My-Ft2）,Kis-My-Ft2,2044,fuzzy_0.80,19.6,14,TPR_男性20～34_202508.csv
GENERATIONS from EXILE TRIBE,GENERATIONSfromEXILETRIBE,524,fuzzy_0.94,19.1,14,TPR_男性20～34_202508.csv
片寄涼太(GENERATIONS from EXILE TRIBE),GENERATIONSfromEXILETRIBE,524,fuzzy_0.85,18.7,14,TPR_男性20～34_202508.csv
FRUITS ZIPPER,FRUITSZIPPER,4220,fuzzy_0.96,18.0,14,TPR_男性20～34_202508.csv
佐藤大樹（FANTASTICS from EXILE TRIBE）,FANTASTICSfromEXILETRIBE,1414,fuzzy_0.84,17.6,14,TPR_男性20～34_202508.csv
SUPER BEAVER,SUPERBEAVER,4437,fuzzy_0.96,17.6,14,TPR_男性20～34_202508.csv
LIL LEAGUE from EXILE TRIBE,LILLEAGUEfromEXILETRIBE,4580,fuzzy_0.92,17.6,14,TPR_男性20～34_202508.csv
ハシヤスメ・アツコ,ハシヤスメアツコ,4369,fuzzy_0.94,17.3,14,TPR_男性20～34_202508.csv
佐野玲於（GENERATIONS from EXILE TRIBE）,GENERATIONSfromEXILETRIBE,524,fuzzy_0.85,17.1,14,TPR_男性20～34_202508.csv
Snow Man,SnowMan,3428,fuzzy_0.93,17.1,14,TPR_男性20～34_202508.csv
木村慧人（FANTASTICS from EXILE TRIBE）,FANTASTICSfromEXILETRIBE,1414,fuzzy_0.84,16.9,14,TPR_男性20～34_202508.csv
中島颯太（FANTASTICS from EXILE TRIBE）,FANTASTICSfromEXILETRIBE,1414,fuzzy_0.84,16.7,14,TPR_男性20～34_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,16.4,14,TPR_男性20～34_202508.csv
FANTASTICS from EXILE TRIBE,FANTASTICSfromEXILETRIBE,1414,fuzzy_0.94,16.4,14,TPR_男性20～34_202508.csv
吉野北人（THE RAMPAGE from EXILE TRIBE）,THERAMPAGEfromEXILETRIBE,523,fuzzy_0.83,16.2,14,TPR_男性20～34_202508.csv
≒JOY,JOY,1595,fuzzy_0.86,16.0,14,TPR_男性20～34_202508.csv
Aぇ! group,Aぇ!group,4028,fuzzy_0.94,15.8,14,TPR_男性20～34_202508.csv
川村壱馬（THE RAMPAGE from EXILE TRIBE）,THERAMPAGEfromEXILETRIBE,523,fuzzy_0.83,15.8,14,TPR_男性20～34_202508.csv
八木勇征（FANTASTICS from EXILE TRIBE）,FANTASTICSfromEXILETRIBE,1414,fuzzy_0.84,15.6,14,TPR_男性20～34_202508.csv
IS:SUE,IS：SUE,4648,fuzzy_0.83,15.3,14,TPR_男性20～34_202508.csv
白濱亜嵐（GENERATIONS from EXILE TRIBE）,GENERATIONSfromEXILETRIBE,524,fuzzy_0.85,15.1,14,TPR_男性20～34_202508.csv
LE SSERAFIM,LESSERAFIM,4237,fuzzy_0.95,15.1,14,TPR_男性20～34_202508.csv
KEY TO LIT,KEYTOLIT,3121,fuzzy_0.89,14.9,14,TPR_男性20～34_202508.csv
Stray Kids,StrayKids,4416,fuzzy_0.95,14.9,14,TPR_男性20～34_202508.csv
Tani Yuuki,TaniYuuki,4436,fuzzy_0.95,14.7,14,TPR_男性20～34_202508.csv
CUTIE STREET,CUTIESTREET,4563,fuzzy_0.96,14.4,14,TPR_男性20～34_202508.csv
THE RAMPAGE from EXILE TRIBE,THERAMPAGEfromEXILETRIBE,523,fuzzy_0.92,12.7,14,TPR_男性20～34_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,11.6,14,TPR_男性20～34_202508.csv
Hey! Say! JUMP,Hey!Say!JUMP,1632,fuzzy_0.92,48.0,10,TPR_女性20～34_202508.csv
Snow Man,SnowMan,3428,fuzzy_0.93,42.2,10,TPR_女性20～34_202508.csv
King & Prince,King&Prince,2971,fuzzy_0.92,41.1,10,TPR_女性20～34_202508.csv
大森元貴（Mrs.GREEN APPLE）,Mrs.GREENAPPLE,4176,fuzzy_0.80,38.7,10,TPR_女性20～34_202508.csv
松尾駿（チョコレートプラネット）,チョコレートプラネット,2642,fuzzy_0.81,37.8,10,TPR_女性20～34_202508.csv
Mrs.GREEN APPLE,Mrs.GREENAPPLE,4176,fuzzy_0.97,37.1,10,TPR_女性20～34_202508.csv
