csv_name,csv_kana,power_score,file,target_segment
B’z,ビーズ,30.2,TPR_男性20～34_202508.csv,14
スピッツ,スピッツ,28.0,TPR_男性20～34_202508.csv,14
鈴木誠也,スズキセイヤ,26.4,TPR_男性20～34_202508.csv,14
THE ALFEE,ジアルフィー,25.1,TPR_男性20～34_202508.csv,14
ケツメイシ,ケツメイシ,23.6,TPR_男性20～34_202508.csv,14
弘中綾香,ヒロナカアヤカ,23.6,TPR_男性20～34_202508.csv,14
大江麻理子,オオエマリコ,22.2,TPR_男性20～34_202508.csv,14
田中瞳,タナカヒトミ,21.6,TPR_男性20～34_202508.csv,14
ヒロド歩美,ヒロドアユミ,21.6,TPR_男性20～34_202508.csv,14
山添寛（相席スタート）,ヤマゾエカン(アイセキスタート),21.6,TPR_男性20～34_202508.csv,14
栗谷（カカロニ）,クリタニ（カカロニ）,21.1,TPR_男性20～34_202508.csv,14
ネルソンズ,ネルソンズ,21.1,TPR_男性20～34_202508.csv,14
ダウ90000,ダウキュウーマン,20.0,TPR_男性20～34_202508.csv,14
秦基博,ハタモトヒロ,20.0,TPR_男性20～34_202508.csv,14
宮司愛海,ミヤジマナミ,20.0,TPR_男性20～34_202508.csv,14
[ALEXANDROS],アレキサンドロス,19.6,TPR_男性20～34_202508.csv,14
江藤愛,エトウアイ,19.6,TPR_男性20～34_202508.csv,14
JUJU,ジュジュ,19.6,TPR_男性20～34_202508.csv,14
新浜レオン,ニイハマレオン,19.6,TPR_男性20～34_202508.csv,14
山形純菜,ヤマガタジュンナ,19.6,TPR_男性20～34_202508.csv,14
小川彩佳,オガワアヤカ,19.1,TPR_男性20～34_202508.csv,14
赤荻歩,アカオギアユミ,18.9,TPR_男性20～34_202508.csv,14
小室瑛莉子,コムロエリコ,18.9,TPR_男性20～34_202508.csv,14
南波雅俊,ナンバマサトシ,18.9,TPR_男性20～34_202508.csv,14
マユリカ,マユリカ,18.9,TPR_男性20～34_202508.csv,14
市來玲奈,イチキレナ,18.7,TPR_男性20～34_202508.csv,14
Aimer,エメ,18.7,TPR_男性20～34_202508.csv,14
堤礼実,ツツミレイミ,18.7,TPR_男性20～34_202508.csv,14
林美桜,ハヤシミオウ,18.7,TPR_男性20～34_202508.csv,14
日比麻音子,ヒビマオコ,18.7,TPR_男性20～34_202508.csv,14
星街すいせい,ホシマチスイセイ,18.7,TPR_男性20～34_202508.csv,14
赤江珠緒,アカエタマオ,18.4,TPR_男性20～34_202508.csv,14
井上清華,イノウエセイカ,18.4,TPR_男性20～34_202508.csv,14
後呂有紗,ウシロアリサ,18.4,TPR_男性20～34_202508.csv,14
ガクテンソク,ガクテンソク,18.4,TPR_男性20～34_202508.csv,14
EXILE,エグザイル,18.2,TPR_男性20～34_202508.csv,14
酒井大成,サカイタイセイ,18.2,TPR_男性20～34_202508.csv,14
NCT WISH,エヌシーティーウイッシュ,18.0,TPR_男性20～34_202508.csv,14
軽部真一,カルベシンイチ,18.0,TPR_男性20～34_202508.csv,14
忽滑谷こころ,ヌカリヤココロ,18.0,TPR_男性20～34_202508.csv,14
桑子真帆,クワコマホ,17.8,TPR_男性20～34_202508.csv,14
原田葵,ハラダアオイ,17.8,TPR_男性20～34_202508.csv,14
蒼井翔太,アオイショウタ,17.6,TPR_男性20～34_202508.csv,14
青井実,アオイミノル,17.6,TPR_男性20～34_202508.csv,14
辻岡義堂,ツジアカギドウ,17.6,TPR_男性20～34_202508.csv,14
岩田絵里奈,イワタエリナ,17.3,TPR_男性20～34_202508.csv,14
上垣皓太朗,ウエガキコウタロウ,17.3,TPR_男性20～34_202508.csv,14
ビスケットブラザーズ,ビスケットブラザーズ,17.3,TPR_男性20～34_202508.csv,14
山﨑翠佳,ヤマザキスイカ,17.3,TPR_男性20～34_202508.csv,14
伊藤利尋,イトウトシヒロ,17.1,TPR_男性20～34_202508.csv,14
BABYMETAL,ベビーメタル,17.1,TPR_男性20～34_202508.csv,14
生田竜聖,イクタリュウセイ,16.9,TPR_男性20～34_202508.csv,14
ØMI（登坂広臣（三代目 J SOUL BROTHERS））,オミ(トサカヒロオミ(サンダイメジェイソウルブラザーズ）),16.9,TPR_男性20～34_202508.csv,14
高野正成（きしたかの）,タカノマサノリ（キシタカノ）,16.9,TPR_男性20～34_202508.csv,14
中村光宏,ナカムラミツヒロ,16.9,TPR_男性20～34_202508.csv,14
駒田健吾,コマダケンゴ,16.7,TPR_男性20～34_202508.csv,14
佐久間みなみ,サクマミナミ,16.7,TPR_男性20～34_202508.csv,14
サルゴリラ,サルゴリラ,16.7,TPR_男性20～34_202508.csv,14
篠原梨菜,シノハラリナ,16.7,TPR_男性20～34_202508.csv,14
水田わさび,ミズタワサビ,16.7,TPR_男性20～34_202508.csv,14
渡辺瑠海,ワタナベルミ,16.7,TPR_男性20～34_202508.csv,14
佐藤梨那,サトウリナ,16.2,TPR_男性20～34_202508.csv,14
膳場貴子,ゼンバタカコ,16.2,TPR_男性20～34_202508.csv,14
福留光帆,フクトメミツホ,16.2,TPR_男性20～34_202508.csv,14
SAKURA（宮脇咲良/LE SSERAFIM）,ミヤワキサクラ（ルセラフィム）,16.2,TPR_男性20～34_202508.csv,14
カベポスター,カベポスター,16.0,TPR_男性20～34_202508.csv,14
TOMORROW X TOGETHER,トゥモローバイトゥギャザー,16.0,TPR_男性20～34_202508.csv,14
高瀬耕造,タカセコウゾウ,15.8,TPR_男性20～34_202508.csv,14
ラブレターズ,ラブレターズ,15.8,TPR_男性20～34_202508.csv,14
アンナ・サワイ,アンナ・サワイ,15.6,TPR_男性20～34_202508.csv,14
梅澤廉,ウメザワレン,15.6,TPR_男性20～34_202508.csv,14
浦野モモ,ウラノモモ,15.6,TPR_男性20～34_202508.csv,14
林佑香,ハヤシユカ,15.6,TPR_男性20～34_202508.csv,14
フィッシャーズ,フィッシャーズ,15.6,TPR_男性20～34_202508.csv,14
谷原七音,タニハラナナト,15.3,TPR_男性20～34_202508.csv,14
ツートライブ,ツートライブ,15.3,TPR_男性20～34_202508.csv,14
松本麗世,マツモトレイヨ,15.3,TPR_男性20～34_202508.csv,14
安藤萌々,アンドウモモ,15.1,TPR_男性20～34_202508.csv,14
佐々木舞音,ササキマイネ,15.1,TPR_男性20～34_202508.csv,14
TOMOO,トモオ,15.1,TPR_男性20～34_202508.csv,14
