"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","11","17","サンドウィッチマン","サンドウィッチマン","","50.3","8","169"
"2","23","22","チョコレートプラネット","チョコレートプラネット","","49.7","3","148"
"3","2","35","櫻井翔（嵐）","サクライショウ（アラシ）","43","48","3","334"
"4","9","2","大森元貴（Mrs.GREEN APPLE）","オオモリモトキ(ミセスグリーンアップル)","29","47.7","6","262"
"5","7","119","松本潤（嵐）","マツモトジュン（アラシ）","42","46","26","308"
"6","2","8","二宮和也（嵐）","ニノミヤカズナリ（アラシ）","42","45.7","13","377"
"7","1","1","Mrs.GREEN APPLE","ミセスグリーン アップル","","44","8","768"
"8","16","12","King & Prince","キングアンドプリンス","","43","33","318"
"9","18","234","長澤まさみ","ナガサワマサミ","38","42.7","89","324"
"9","30","107","山田涼介（Hey! Say! JUMP）","ヤマダリョウスケ（ヘイセイジャンプ）","32","42.7","62","235"
"11","72","16","今田美桜","イマダミオ","28","42.3","56","464"
"11","97","99","SixTONES","ストーンズ","","42.3","121","133"
"11","27","46","道枝駿佑（なにわ男子）","ミチエダシュンスケ（ナニワダンシ）","23","42.3","62","202"
"14","7","107","相葉雅紀（嵐）","アイバマサキ（アラシ）","42","42","21","467"
"14","11","5","菊池風磨（timelesz）","キクチフウマ（タイムレス(セクシーゾーン)）","30","42","13","432"
"14","78","62","松尾駿（チョコレートプラネット）","マツオシュン（チョコレートプラネット）","43","42","56","385"
"17","109","20","中島健人","ナカジマケント（セクシー ゾーン）","31","41.7","89","381"
"17","25","14","永瀬廉（King & Prince）","ナガセレン（ キングアンドプリンス）","26","41.7","62","570"
"17","4","8","橋本環奈","ハシモトカンナ（レブフロムディーブイエル）","26","41.7","2","592"
"20","11","3","目黒蓮（Snow Man）","メグロレン（スノーマン）","28","41.3","8","371"
"21","50","181","長田庄平（チョコレートプラネット）","オサダショウヘイ（チョコレートプラネット）","45","41","44","527"
"22","11","102","いとうあさこ","イトウアサコ","55","40.7","13","432"
"23","16","6","吉沢亮","ヨシザワリョウ","31","40.3","89","268"
"24","35","15","ラウール（Snow Man）","ラウール（スノーマン）","22","40","33","501"
"25","11","4","YOASOBI","ヨアソビ","","39.7","21","398"
"26","68","50","幾田りら（YOASOBI）","イクタリラ（ヨアソビ）","25","39.3","19","537"
"26","56","45","宮舘涼太（Snow Man）","ミヤダテリョウタ（スノーマン）","32","39.3","79","259"
"28","81","228","大西流星（なにわ男子）","オオニシリュウセイ(ナニワダンシ)","24","39","128","363"
"29","86","228","なにわ男子","ナニワダンシ","","38.7","104","712"
"30","19","35","水卜麻美","ミウラアサミ","38","38.3","56","169"
"31","35","114","Snow Man","スノーマン","","38","19","1120"
"31","132","219","山﨑賢人","ヤマザキケント","31","38","166","119"
"33","97","124","新垣結衣","アラガキユイ","37","37.7","104","330"
"33","33","52","イモトアヤコ","イモトアヤコ","39","37.7","13","659"
"33","381","500","畑芽育","ハタメイ","23","37.7","260","141"
"33","43","137","浜辺美波","ハマベミナミ","25","37.7","44","810"
"37","72","311","かまいたち","カマイタチ","","37.3","6","810"
"37","29","19","マツコ・デラックス","マツコデラックス","53","37.3","13","592"
"39","33","12","あいみょん","アイミョン","30","37","33","869"
"39","5","8","芦田愛菜","アシダマナ","21","37","44","381"
"39","62","55","松田元太（Travis Japan）","マツダゲンタ(トラビスジャパン)","26","37","104","330"
"39","176","82","松村北斗（SixTONES)","マツムラホクト（ストーンズ)","30","37","246","114"
"39","162","59","横浜流星","ヨコハマリュウセイ","29","37","178","419"
"44","35","23","川口春奈","カワグチハルナ","30","36.7","89","610"
"45","116","71","大橋和也（なにわ男子）","オオハシカズヤ(ナニワダンシ)","28","36.3","166","330"
"45","","97","狩野英孝","カノエイコウ","43","36.3","56","610"
"45","21","26","平野紫耀（Number_i）","ヒラノショウ（ナンバーアイ）","28","36.3","26","771"
"48","128","124","ウッチャンナンチャン","ウッチャンナンチャン","","36","104","281"
"48","194","477","小芝風花","コシバフウカ","28","36","149","212"
"48","167","124","佐野勇斗（M!LK）","サノハヤト（ミルク）","27","36","212","149"
"48","205","119","Travis Japan","トラビスジャパン","","36","194","293"
"52","48","27","佐藤勝利（timelesz）","サトウショウリ（タイムレス(セクシーゾーン)）","29","35.7","89","268"
"52","5","30","出川哲朗","デガワテツロウ","61","35.7","33","426"
"54","132","82","志尊淳","シソンジュン","30","35","137","209"
"54","62","42","髙橋海人（King & Prince）","タカハシカイト（キングアンドプリンス）","26","35","137","782"
"54","95","62","伊達みきお（サンドウィッチマン）","ダテミキオ（サンドウィッチマン）","51","35","194","230"
"54","103","90","ちゃんみな","チャンミナ","27","35","79","605"
"54","25","18","TWICE","トゥワイス","","35","194","527"
"54","50","59","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","35","62","404"
"54","212","192","ハナコ","ハナコ","","35","69","251"
"54","132","55","広瀬アリス","ヒロセアリス","30","35","121","589"
"62","56","25","こっちのけんと","コッチノケント","29","34.7","26","1134"
"63","97","48","池田美優（みちょぱ）","イケダミユウ（ミチョパ）","27","34.3","44","675"
"63","92","175","オードリー","オードリー","","34.3","79","605"
"63","119","77","Number_i","ナンバーアイ","","34.3","89","694"
"63","54","50","生見愛瑠（めるる）","ヌクミメル（メルル）","23","34.3","44","527"
"67","41","90","Ado","アド","23","34","89","610"
"67","24","30","大泉洋","オオイズミヨウ","52","34","44","884"
"67","78","124","佐久間大介（Snow Man）","サクマダイスケ（スノーマン）","33","34","26","1134"
"67","417","436","重岡大毅（WEST.）","シゲオカダイキ（ウエスト（ジャニーズウエスト））","33","34","332","334"
"67","109","351","鈴木亮平","スズキリョウヘイ","42","34","225","472"
"67","72","114","日村勇紀（バナナマン）","ヒムラユウキ（バナナマン）","53","34","56","685"
"67","140","219","Hey! Say! JUMP","ヘイセイジャンプ","","34","351","287"
"74","78","210","明石家さんま","アカシヤサンマ","70","33.7","3","1016"
"74","194","436","小栗旬","オグリシュン","42","33.7","89","839"
"74","27","55","やす子","ヤスコ","27","33.7","1","994"
"77","81","142","阿部寛","アベヒロシ","61","33.3","104","385"
"77","56","124","有吉弘行","アリヨシヒロイキ","51","33.3","44","605"
"77","39","311","北川景子","キタガワケイコ","39","33.3","104","385"
"77","167","332","神宮寺勇太（Number_i）","ジングウジユウタ（ナンバーアイ）","28","33.3","104","712"
"77","9","30","ムロツヨシ","ムロツヨシ","49","33.3","89","610"
"82","68","348","有村架純","アリムラカスミ","32","33","33","720"
"82","41","175","内村光良（ウッチャンナンチャン）","ウチムラテルヨシ（ウッチャンナンチャン）","61","33","69","499"
"82","72","77","Creepy Nuts","クリーピーナッツ","","33","79","318"
"82","176","132","指原莉乃","サシハラリノ（エイチケーティーフォーティーエイト）","33","33","79","751"
"82","72","164","せいや（霜降り明星）","セイヤ（シモフリミョウジョウ）","33","33","44","527"
"82","38","219","浜田雅功（ダウンタウン）","ハマダマサトシ（ダウンタウン）","62","33","33","988"
"82","64","72","バナナマン","バナナマン","","33","79","751"
"82","305","234","福原遥","フクハラハルカ","27","33","212","650"
"82","132","119","星野源","ホシノゲン","44","33","21","555"
"82","50","150","向井康二（Snow Man）","ムカイコウジ（スノーマン）","31","33","128","835"
"82","30","6","米津玄師","ヨネヅケンシ","34","33","33","869"
"93","56","186","阿佐ヶ谷姉妹","アサガヤシマイ","","32.7","33","916"
"93","176","97","小峠英二（バイきんぐ）","コトウゲエイジ（バイキング）","49","32.7","137","997"
"93","155","42","佐藤健","サトウタケル","36","32.7","137","537"
"93","46","27","SEKAI NO OWARI","セカイノオワリ","","32.7","149","650"
"93","97","332","バカリズム","バカリズム","49","32.7","69","730"
"93","205","186","松島聡（timelesz）","マツシマソウ（タイムレス(セクシーゾーン)）","27","32.7","311","407"
"99","140","90","ジェシー（SixTONES)","ジェシー（ストーンズ)","29","32.3","194","527"
"99","30","35","大悟（千鳥）","ダイゴ（チドリ）","45","32.3","33","592"
"99","64","277","濱家隆一（かまいたち）","ハマイエリュウイチ（カマイタチ）","42","32.3","44","1055"
"99","56","42","Vaundy","バウンディ","25","32.3","275","192"
"99","147","24","広瀬すず","ヒロセスズ","27","32.3","79","894"
"104","147","104","白石麻衣","シライシマイ（ノギザカフォーティーシックス）","33","32","104","712"
"104","155","164","Perfume","パフューム","","32","128","756"
"106","186","300","板垣李光人","イタガキリヒト","23","31.7","246","281"
"106","363","311","伊野尾慧（Hey! Say! JUMP）","イノオケイ（ヘイセイジャンプ）","35","31.7","225","581"
"106","399","247","SUPER EIGHT(関ジャニ∞)","スーパーエイト(カンジャニエイト)","","31.7","246","281"
"106","116","286","高橋文哉","タカハシフミヤ","24","31.7","311","328"
"106","212","114","田中樹（SixTONES)","タナカジュリ（ストーンズ）","30","31.7","166","669"
"106","97","62","深澤辰哉（Snow Man）","フカザワタツヤ（スノーマン）","33","31.7","178","419"
"106","167","132","渡辺翔太（Snow Man）","ワタナベショウタ（スノーマン）","33","31.7","137","1055"
"113","","500","井ノ原快彦","イノハラヨシヒコ（ブイシックス）","49","31.3","397","251"
"113","153","204","大久保佳代子（オアシズ）","オオクボカヨコ（オアシズ）","55","31.3","104","873"
"113","103","99","カズレーザー（メイプル超合金）","カズレーザー（メイプルチョウゴウキン）","41","31.3","44","605"
"113","119","82","上白石萌歌","カミシライシモカ","25","31.3","149","960"
"113","221","228","timelesz","タイムレス（セクシーゾーン）","","31.3","194","790"
"113","268","200","玉森裕太（Kis-My-Ft2）","タマモリユウタ（キスマイフットツー）","35","31.3","194","610"
"113","256","77","中村倫也","ナカムラトモヤ","38","31.3","260","432"
"120","212","30","あの","アノ","","31","89","978"
"120","119","142","木村拓哉","キムラタクヤ（スマップ）","53","31","44","944"
"120","155","62","高橋恭平（なにわ男子）","タカハシキョウヘイ(ナニワダンシ)","25","31","166","480"
"120","124","124","ダウンタウン","ダウンタウン","","31","69","665"
"120","109","87","中岡創一(ロッチ)","ナカオカソウイチ（ロッチ）","47","31","104","796"
"120","81","72","なかやまきんに君","ナカヤマキンニクン","47","31","26","1016"
"120","43","62","モモ（TWICE/MISAMO）","モモ（トゥワイス/ミサモ)","29","31","291","246"
"120","86","311","山内健司（かまいたち）","ヤマウチケンジ（カマイタチ）","44","31","21","1054"
"120","46","39","渡辺直美","ワタナベナオミ","38","31","166","669"
"129","192","82","綾瀬はるか","アヤセハルカ","40","30.7","69","875"
"129","221","119","亀梨和也","カメナシカズヤ（カトゥーン）","39","30.7","194","790"
"129","95","87","近藤春菜（ハリセンボン）","コンドウハルナ（ハリセンボン）","42","30.7","128","1019"
"129","194","462","長谷川忍（シソンヌ）","ハセガワシノブ（シソンヌ）","47","30.7","137","695"
"133","489","219","天海祐希","アマミユウキ","58","30.3","351","365"
"133","205","204","岡部大（ハナコ）","オカベダイ（ハナコ）","36","30.3","128","516"
"133","21","82","Official髭男dism","オフィシャルヒゲダンディズム","","30.3","225","258"
"133","221","52","賀来賢人","カクケント","36","30.3","237","681"
"133","70","241","春日俊彰（オードリー）","カスガトシアキ（オードリー）","46","30.3","69","939"
"133","119","384","川島明（麒麟）","カワシマアキラ（キリン)","46","30.3","194","363"
"133","124","52","北村匠海（DISH//）","キタムラタクミ（ディッシュ）","28","30.3","212","444"
"133","205","181","佐藤二朗","サトウジロウ","56","30.3","397","537"
"133","56","124","菅田将暉","スダマサキ","32","30.3","89","550"
"133","373","286","長尾謙杜（なにわ男子）","ナガオケント(ナニワダンシ)","23","30.3","194","701"
"133","","111","はじめしゃちょー","ハジメシャチョー","32","30.3","26","1016"
"133","353","456","パンサー","パンサー","43","30.3","128","678"
"133","167","369","村上信五（SUPER EIGHT(関ジャニ∞)）","ムラカミシンゴ（スーパーエイト(カンジャニエイト)）","43","30.3","137","443"
"146","70","69","山田裕貴","ヤマダユウキ","35","30","194","193"
"147","239","150","秋山竜次（ロバート）","アキヤマリュウジ（ロバート）","47","29.7","275","850"
"147","147","62","風間俊介","カザマシュンスケ","42","29.7","178","287"
"147","140","192","3時のヒロイン","サンジノヒロイン","","29.7","69","1055"
"147","","150","DAIGO","ダイゴ","47","29.7","79","605"
"147","39","21","back number","バックナンバー","","29.7","291","385"
"152","109","132","阿部亮平（Snow Man）","アベリョウヘイ（スノーマン）","31","29.3","178","839"
"152","81","47","石原さとみ","イシハラサトミ","38","29.3","121","1069"
"152","231","87","兼近大樹(EXIT)","カネチカダイキ（イグジット）","34","29.3","89","610"
"152","167","69","木村昴","キムラスバル","35","29.3","178","334"
"152","119","38","坂口健太郎","サカグチケンタロウ","34","29.3","246","334"
"152","231","137","佐藤栞里","サトウシオリ","35","29.3","237","939"
"152","86","77","千鳥","チドリ","","29.3","166","1019"
"152","363","265","津田篤宏（ダイアン）","ツダアツヒロ（ダイアン）","49","29.3","275","574"
"152","140","59","FRUITS ZIPPER","フルーツジッパー","","29.3","311","407"
"152","231","157","松坂桃李","マツザカトオリ","37","29.3","212","374"
"152","92","72","緑黄色社会","リョクオウショクシャカイ","","29.3","260","291"
"163","194","228","劇団ひとり","ゲキダンヒトリ","48","29","104","796"
"163","417","265","DOMOTO(KinKi Kids)","ドウモト（キンキキッズ）","","29","291","385"
"163","140","119","藤井風","フジイカゼ","28","29","275","119"
"163","109","369","若林正恭（オードリー）","ワカバヤシマサヤス（オードリー）","47","29","104","929"
"167","","247","いきものがかり","イキモノガカリ","","28.7","194","610"
"167","256","537","岡村隆史（ナインティナイン）","オカムラタカシ（ナインティナイン）","55","28.7","121","1142"
"167","305","351","シソンヌ","シソンヌ","","28.7","291","685"
"167","176","277","滝沢カレン","タキザワカレン","33","28.7","89","910"
"167","106","142","中条あやみ","ナカジョウアヤミ","28","28.7","178","501"
"167","167","99","藤原丈一郎（なにわ男子）","フジワラジョウイチロウ(ナニワダンシ)","29","28.7","260","432"
"167","106","137","山下智久","ヤマシタトモヒサ（ニュース）","40","28.7","166","581"
"174","162","265","R-指定（Creepy Nuts）","アールシテイ（クリーピーナッツ）","34","28.3","291","385"
"174","285","111","aespa","エスパ","","28.3","420","267"
"174","64","39","神木隆之介","カミキリュウノスケ","32","28.3","225","581"
"174","162","405","西畑大吾（なにわ男子）","ニシハタダイゴ（ナニワダンシ）","28","28.3","237","869"
"174","50","55","ノブ（千鳥）","ノブ（チドリ）","45","28.3","62","1149"
"174","388","394","野呂佳代","ノロカヨ","42","28.3","212","650"
"174","305","210","博多華丸・大吉","ハカタハナマルダイキチ","","28.3","149","720"
"174","","200","羽生結弦","ハニュウユズル","30","28.3","13","1154"
"174","132","132","ゆうちゃみ（古川優奈）","ユウチャミ（コガワユウナ）","24","28.3","149","720"
"174","106","114","ゆず","ユズ","","28.3","149","566"
"184","147","124","上田晋也（くりぃむしちゅー）","ウエダシンヤ（クリィムシチュー）","55","28","121","665"
"184","313","39","岸優太（Number_i）","キシユウタ（ナンバーアイ）","30","28","149","1069"
"184","246","","キンタロー。","キンタロー","44","28","79","829"
"184","140","369","くりぃむしちゅー","クリィムシチュー","","28","237","602"
"184","","241","さかなクン","サカナクン","50","28","104","1100"
"184","256","311","澤部佑（ハライチ）","サワベユウ（ハライチ）","39","28","178","839"
"184","128","107","設楽統（バナナマン）","シタラオサム（バナナマン）","52","28","178","839"
"184","347","332","高杉真宙","タカスギマヒロ","29","28","397","144"
"184","609","210","千葉雄大","チバユウダイ","36","28","246","886"
"184","116","34","NiziU","ニジュー","","28","128","901"
"194","329","142","かなで（3時のヒロイン）","カナデ（サンジノヒロイン）","33","27.7","178","916"
"194","353","234","京本大我（SixTONES)","キョウモトタイガ（ストーンズ)","30","27.7","291","602"
"194","186","332","じろう（シソンヌ）","ジロウ（シソンヌ）","47","27.7","351","365"
"194","564","394","玉木宏","タマキヒロシ","45","27.7","542","200"
"194","","384","土屋太鳳","ツチヤタオ","30","27.7","137","1055"
"194","353","447","堂本光一（DOMOTO（KinKi Kids））","ドウモトコウイチ（ドウモト（キンキキッズ））","46","27.7","225","910"
"194","167","181","藤田ニコル","フジタニコル","27","27.7","89","978"
"194","109","247","MISAMO","ミサモ","","27.7","367","472"
"194","109","204","みやぞん","ミヤゾン（アンゼンマンザイ）","40","27.7","62","1083"
"203","","667","’＝LOVE","イコールラブ","","27.3","645","54"
"203","64","72","大谷翔平","オオタニショウヘイ","31","27.3","8","1222"
"203","510","572","七五三掛龍也（Travis Japan）","シメカケリュウヤ（トラビスジャパン）","30","27.3","542","67"
"203","246","300","DISH//","ディッシュ","","27.3","332","550"
"203","591","427","松倉海斗(Travis Japan)","マツクラカイト（トラビスジャパン）","28","27.3","526","193"
"203","103","49","宮野真守","ミヤノマモル","42","27.3","275","574"
"203","461","300","向井理","ムカイオサム","43","27.3","367","802"
"203","410","420","吉川愛","ヨシカワアイ","26","27.3","579","149"
"211","296","171","綾野剛","アヤノゴウ","43","27","246","802"
"211","","157","IKKO","イッコー","63","27","44","1124"
"211","268","394","上田竜也","ウエダタツヤ（カトゥーン）","42","27","225","910"
"211","81","102","上白石萌音","カミシライシモネ","27","27","104","1055"
"211","","186","タモリ","タモリ","80","27","128","978"
"211","","300","寺田心","テラダココロ","17","27","104","929"
"211","347","626","東京03","トウキョウゼロサン","","27","437","365"
"211","399","369","原菜乃華","ハラナノカ","22","27","332","1005"
"211","373","277","増田貴久（NEWS）","マスダタカヒサ（ニュース）","39","27","237","499"
"211","72","111","ミナ（TWICE/MISAMO)","ミナ（トゥワイス/ミサモ)","28","27","460","171"
"211","","","M!LK","ミルク","","27","246","610"
"222","162","142","有田哲平（くりぃむしちゅー）","アリタテッペイ（クリィムシチュー）","54","26.7","166","735"
"222","285","204","遠藤憲一","エンドウケンイチ","64","26.7","397","421"
"222","522","727","かが屋","カガヤ","","26.7","332","550"
"222","","477","佐々木希","ササキノゾミ","37","26.7","311","610"
"222","54","210","霜降り明星","シモフリミョウジョウ","","26.7","62","1019"
"222","373","559","タイムマシーン3号","タイムマシーンサンゴウ","","26.7","376","720"
"222","256","","野田クリスタル（マヂカルラブリー）","ノダクリスタル（マヂカルラブリー）","38","26.7","194","1072"
"229","86","62","King Gnu","キングヌー","","26.3","351","574"
"229","381","405","知念侑李（Hey! Say! JUMP）","チネンユウリ（ヘイセイジャンプ）","31","26.3","291","790"
"229","489","219","中島裕翔","ナカジマユウト（ヘイセイジャンプ）","32","26.3","351","365"
"229","417","686","永尾柚乃","ナガオユノ","9","26.3","291","602"
"229","329","311","NEWS","ニュース","","26.3","437","600"
"229","373","277","博多華丸（博多華丸・大吉）","ハカタハナマル（ハカタハナマルダイキチ）","55","26.3","225","751"
"229","","311","フィッシャーズ","フィッシャーズ","","26.3","194","1012"
"229","433","219","福本莉子","フクモトリコ","25","26.3","332","426"
"229","132","150","本田翼","ホンダツバサ","33","26.3","149","884"
"229","176","295","山崎弘也（アンタッチャブル）","ヤマザキヒロナリ（アンタッチャブル）","49","26.3","237","330"
"229","176","181","LE SSERAFIM","ルセラフィム","","26.3","437","365"
"240","86","559","阿部サダヲ","アベサダヲ","55","26","246","886"
"240","433","427","Kis-My-Ft2","キスマイフットツー","","26","332","735"
"240","399","643","窪田正孝","クボタマサタカ","37","26","351","672"
"240","155","142","小松菜奈","コマツナナ","29","26","291","323"
"240","97","311","サナ（TWICE/MISAMO)","サナ（トゥワイス/ミサモ)","28","26","437","284"
"240","539","436","サーヤ（ラランド）","サーヤ（ラランド）","29","26","420","570"
"240","128","94","竹内涼真","タケウチリョウマ","32","26","149","960"
"240","221","477","多部未華子","タベミカコ","36","26","311","407"
"240","","","鎮西寿々歌（FRUITS ZIPPER）","チンゼイスズカ（フルーツジッパー）","27","26","420","334"
"240","256","686","西島秀俊","ニシジマヒデトシ","54","26","376","318"
"240","363","192","波瑠","ハル","34","26","397","421"
"240","268","171","ヒカキン","ヒカキン","36","26","8","1192"
"240","388","405","村重杏奈","ムラシゲアンナ","27","26","212","1188"
"240","239","27","米倉涼子","ヨネクラリョウコ","50","26","178","501"
"240","147","150","ロッチ","ロッチ","","26","178","681"
"255","140","192","岩本照（Snow Man）","イワモトヒカル（スノーマン）","32","25.7","137","1188"
"255","212","247","王林","オウリン（リンゴムスメ）","27","25.7","178","1139"
"255","162","164","田中みな実","タナカミナミ","39","25.7","69","939"
"255","86","94","戸田恵梨香","トダエリカ","37","25.7","260","555"
"255","268","300","南原清隆（ウッチャンナンチャン）","ナンバラキヨタカ（ウッチャンナンチャン）","60","25.7","137","782"
"255","445","104","錦鯉","ニシキゴイ","","25.7","166","1086"
"255","313","265","長谷川雅紀（錦鯉）","ハセガワマサノリ(ニシキゴイ)","54","25.7","225","751"
"255","305","247","羽鳥慎一","ハトリシンイチ","54","25.7","225","751"
"255","296","175","原田泰造（ネプチューン）","ハラダタイゾウ（ネプチューン）","55","25.7","275","850"
"255","522","447","宮近海斗（Travis Japan）","ミヤチカカイト（トラビスジャパン）","28","25.7","526","259"
"255","205","277","横山裕（SUPER EIGHT(関ジャニ∞))","ヨコヤマユウ（スーパーエイト(カンジャニエイト)）","44","25.7","260","908"
"255","285","462","吉高由里子","ヨシタカユリコ","37","25.7","376","235"
"255","353","492","令和ロマン","レイワロマン","","25.7","504","328"
"268","217","157","宇多田ヒカル","ウタダヒカル","42","25.3","166","899"
"268","239","241","CUTIE STREET","キューティーストリート","","25.3","420","202"
"268","","286","サンシャイン池崎","サンシャインイケザキ","44","25.3","56","1185"
"268","347","477","杉咲花","スギサキハナ","28","25.3","420","117"
"268","167","436","粗品（霜降り明星）","ソシナ（シモフリミョウジョウ）","32","25.3","69","1206"
"268","268","394","高畑充希","タカハタミツキ","33","25.3","260","432"
"268","","137","菜々緒","ナナオ","37","25.3","212","895"
"268","250","164","二階堂ふみ","ニカイドウフミ","31","25.3","311","407"
"268","221","186","ヒコロヒー","ヒコロヒー","36","25.3","237","1072"
"268","256","348","BTS（防弾少年団）","ビーティーエス（ボウダンショウネンダン）","","25.3","437","910"
