"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","2","3","大谷翔平","オオタニショウヘイ","31","39.3","2","797"
"2","30","2","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","36","8","576"
"3","4","1","サンドウィッチマン","サンドウィッチマン","","35.7","3","1017"
"4","1","8","米津玄師","ヨネヅケンシ","34","35.3","15","404"
"5","41","89","橋本環奈","ハシモトカンナ（レブフロムディーブイエル）","26","35","5","1005"
"6","7","13","YOASOBI","ヨアソビ","","33.7","25","198"
"7","10","24","阿部寛","アベヒロシ","61","33","19","808"
"7","30","70","Mrs.GREEN APPLE","ミセスグリーン アップル","","33","58","514"
"9","10","6","有吉弘行","アリヨシヒロイキ","51","32.3","12","915"
"10","50","21","明石家さんま","アカシヤサンマ","70","32","1","1118"
"11","50","44","大森元貴（Mrs.GREEN APPLE）","オオモリモトキ(ミセスグリーンアップル)","29","31.7","30","647"
"12","74","77","イチロー","イチロー","52","31.3","8","1198"
"12","18","60","やす子","ヤスコ","27","31.3","4","1133"
"14","395","243","Snow Man","スノーマン","","31","74","325"
"15","22","29","チョコレートプラネット","チョコレートプラネット","","30.7","30","576"
"16","30","216","芦田愛菜","アシダマナ","21","30.3","30","452"
"16","50","36","ヒカキン","ヒカキン","36","30.3","5","1117"
"16","16","29","日村勇紀（バナナマン）","ヒムラユウキ（バナナマン）","53","30.3","15","997"
"19","12","77","バナナマン","バナナマン","","30","19","716"
"20","27","15","大泉洋","オオイズミヨウ","52","29.7","17","1068"
"20","27","12","春日俊彰（オードリー）","カスガトシアキ（オードリー）","46","29.7","30","276"
"20","54","46","カズレーザー（メイプル超合金）","カズレーザー（メイプルチョウゴウキン）","41","29.7","46","986"
"20","47","87","櫻井翔（嵐）","サクライショウ（アラシ）","43","29.7","12","1140"
"20","6","18","出川哲朗","デガワテツロウ","61","29.7","12","915"
"25","14","23","なかやまきんに君","ナカヤマキンニクン","47","29.3","30","749"
"25","27","46","広瀬すず","ヒロセスズ","27","29.3","74","417"
"27","106","128","川口春奈","カワグチハルナ","30","29","74","325"
"27","30","18","大悟（千鳥）","ダイゴ（チドリ）","45","29","58","731"
"27","127","99","長谷川雅紀（錦鯉）","ハセガワマサノリ(ニシキゴイ)","54","29","74","568"
"30","61","18","Official髭男dism","オフィシャルヒゲダンディズム","","28.7","157","198"
"31","43","31","あいみょん","アイミョン","30","28.3","37","594"
"31","172","186","小栗旬","オグリシュン","42","28.3","106","258"
"31","","99","さかなクン","サカナクン","50","28.3","25","732"
"31","24","4","菅田将暉","スダマサキ","32","28.3","98","595"
"31","14","54","せいや（霜降り明星）","セイヤ（シモフリミョウジョウ）","33","28.3","8","1168"
"36","","22","狩野英孝","カノエイコウ","43","28","74","647"
"36","134","133","菊池風磨（timelesz）","キクチフウマ（タイムレス(セクシーゾーン)）","30","28","90","340"
"36","","84","DAIGO","ダイゴ","47","28","25","996"
"36","20","54","ダウンタウン","ダウンタウン","","28","17","1122"
"36","","50","はじめしゃちょー","ハジメシャチョー","32","28","30","931"
"36","74","13","浜田雅功（ダウンタウン）","ハマダマサトシ（ダウンタウン）","62","28","46","911"
"42","37","71","Ado","アド","23","27.7","106","470"
"42","87","93","有田哲平（くりぃむしちゅー）","アリタテッペイ（クリィムシチュー）","54","27.7","46","808"
"42","78","26","星野源","ホシノゲン","44","27.7","19","1098"
"42","22","37","みやぞん","ミヤゾン（アンゼンマンザイ）","40","27.7","74","568"
"46","67","60","イモトアヤコ","イモトアヤコ","39","27.3","19","1142"
"46","71","24","こっちのけんと","コッチノケント","29","27.3","58","631"
"46","50","54","中岡創一(ロッチ)","ナカオカソウイチ（ロッチ）","47","27.3","37","1013"
"46","47","82","錦鯉","ニシキゴイ","","27.3","98","452"
"46","36","40","バカリズム","バカリズム","49","27.3","106","812"
"46","8","9","マツコ・デラックス","マツコデラックス","53","27.3","19","1018"
"52","55","43","オードリー","オードリー","","27","64","643"
"52","87","31","木村拓哉","キムラタクヤ（スマップ）","53","27","46","1118"
"52","","67","サンシャイン池崎","サンシャインイケザキ","44","27","37","1086"
"52","24","60","設楽統（バナナマン）","シタラオサム（バナナマン）","52","27","37","955"
"52","150","190","博多華丸（博多華丸・大吉）","ハカタハナマル（ハカタハナマルダイキチ）","55","27","19","1098"
"52","100","71","浜辺美波","ハマベミナミ","25","27","195","319"
"52","122","190","藤井聡太","フジイソウタ","23","27","90","895"
"52","87","71","松本潤（嵐）","マツモトジュン（アラシ）","42","27","46","986"
"60","55","110","綾瀬はるか","アヤセハルカ","40","26.7","46","911"
"60","247","204","草彅剛","クサナギツヨシ（スマップ）","51","26.7","46","1160"
"60","87","165","堺雅人","サカイマサト","52","26.7","106","812"
"60","20","33","霜降り明星","シモフリミョウジョウ","","26.7","8","1238"
"60","112","128","松丸亮吾","マツマルリョウゴ","29","26.7","106","343"
"65","100","37","幾田りら（YOASOBI）","イクタリラ（ヨアソビ）","25","26.3","123","629"
"65","47","82","King Gnu","キングヌー","","26.3","157","297"
"65","67","60","ゆず","ユズ","","26.3","123","369"
"68","100","137","神木隆之介","カミキリュウノスケ","32","26","145","778"
"68","30","46","二宮和也（嵐）","ニノミヤカズナリ（アラシ）","42","26","46","700"
"68","","280","フィッシャーズ","フィッシャーズ","","26","74","1018"
"68","139","142","本田翼","ホンダツバサ","33","26","123","732"
"68","168","147","りんたろー。（EXIT)","リンタロー。（イグジット）","39","26","74","875"
"73","82","33","かまいたち","カマイタチ","","25.7","106","931"
"73","61","142","木村昴","キムラスバル","35","25.7","123","629"
"73","9","15","伊達みきお（サンドウィッチマン）","ダテミキオ（サンドウィッチマン）","51","25.7","37","955"
"73","3","9","ノブ（千鳥）","ノブ（チドリ）","45","25.7","46","619"
"73","122","177","博多大吉（博多華丸・大吉）","ハカタダイキチ（ハカタハナマルダイキチ）","54","25.7","37","1086"
"73","","165","羽生結弦","ハニュウユズル","30","25.7","5","1259"
"79","112","50","阿佐ヶ谷姉妹","アサガヤシマイ","","25.3","25","1193"
"79","","377","安住紳一郎","アズミシンイチロウ","52","25.3","136","643"
"79","","84","IKKO","イッコー","63","25.3","37","1013"
"79","71","71","今田美桜","イマダミオ","28","25.3","64","747"
"79","39","40","長田庄平（チョコレートプラネット）","オサダショウヘイ（チョコレートプラネット）","45","25.3","136","643"
"79","106","","キンタロー。","キンタロー","44","25.3","25","1239"
"79","278","301","ふくらP","フクラピー","32","25.3","157","415"
"86","106","93","新垣結衣","アラガキユイ","37","25","157","568"
"86","217","93","有村架純","アリムラカスミ","32","25","157","297"
"86","","142","池上彰","イケガミアキラ","75","25","123","369"
"86","82","33","Creepy Nuts","クリーピーナッツ","","25","244","231"
"86","78","46","粗品（霜降り明星）","ソシナ（シモフリミョウジョウ）","32","25","64","1142"
"86","224","142","高橋茂雄（サバンナ）","タカハシシゲオ（サバンナ）","49","25","90","1057"
"86","","27","所ジョージ","トコロジョージ","70","25","44","1018"
"93","93","77","R-指定（Creepy Nuts）","アールシテイ（クリーピーナッツ）","34","24.7","216","881"
"93","","54","伊沢拓司","イザワタクシ","31","24.7","157","415"
"93","155","60","いとうあさこ","イトウアサコ","55","24.7","74","647"
"93","155","210","宇多田ヒカル","ウタダヒカル","42","24.7","98","915"
"93","286","404","北川景子","キタガワケイコ","39","24.7","244","647"
"93","","260","菜々緒","ナナオ","37","24.7","123","732"
"93","172","358","羽鳥慎一","ハトリシンイチ","54","24.7","74","1018"
"93","320","216","森七菜","モリナナ","24","24.7","244","343"
"93","43","44","若林正恭（オードリー）","ワカバヤシマサヤス（オードリー）","47","24.7","90","788"
"102","74","77","上田晋也（くりぃむしちゅー）","ウエダシンヤ（クリィムシチュー）","55","24.3","64","865"
"102","","155","梅沢富美男","ウメザワトミオ","75","24.3","98","808"
"102","100","104","劇団ひとり","ゲキダンヒトリ","48","24.3","98","808"
"102","16","5","小峠英二（バイきんぐ）","コトウゲエイジ（バイキング）","49","24.3","106","715"
"102","172","320","笑福亭鶴瓶","ショウフクテイツルベ","73","24.3","74","762"
"102","4","17","千鳥","チドリ","","24.3","64","643"
"102","58","116","トシ（タカアンドトシ）","トシ（タカアンドトシ）","49","24.3","64","1013"
"102","413","","星街すいせい","ホシマチスイセイ","","24.3","325","277"
"102","41","60","宮川大輔","ミヤガワダイスケ","53","24.3","64","1013"
"111","93","147","あの","アノ","","24","74","875"
"111","163","314","王林","オウリン（リンゴムスメ）","27","24","64","1088"
"111","67","37","SEKAI NO OWARI","セカイノオワリ","","24","157","927"
"111","58","115","Vaundy","バウンディ","25","24","180","300"
"111","18","11","ムロツヨシ","ムロツヨシ","49","24","123","1106"
"111","168","99","横浜流星","ヨコハマリュウセイ","29","24","145","515"
"117","82","54","濱家隆一（かまいたち）","ハマイエリュウイチ（カマイタチ）","42","23.7","90","1057"
"117","224","177","藤田ニコル","フジタニコル","27","23.7","136","759"
"117","206","458","松坂桃李","マツザカトオリ","37","23.7","145","1194"
"117","116","260","水卜麻美","ミウラアサミ","38","23.7","58","1071"
"117","78","93","山内健司（かまいたち）","ヤマウチケンジ（カマイタチ）","44","23.7","90","895"
"117","210","223","米倉涼子","ヨネクラリョウコ","50","23.7","157","806"
"123","116","128","岡村隆史（ナインティナイン）","オカムラタカシ（ナインティナイン）","55","23.3","106","812"
"123","192","137","タカアンドトシ","タカアンドトシ","","23.3","145","778"
"123","130","165","中村倫也","ナカムラトモヤ","38","23.3","230","495"
"123","182","110","長澤まさみ","ナガサワマサミ","38","23.3","216","620"
"123","206","89","八村塁","ハチムラルイ","27","23.3","98","688"
"123","145","116","ハナコ","ハナコ","","23.3","195","716"
"123","67","133","広瀬アリス","ヒロセアリス","30","23.3","123","498"
"123","347","418","ももいろクローバーＺ","モモイロクローバーゼット","","23.3","180","581"
"131","","165","いきものがかり","イキモノガカリ","","23","157","297"
"131","12","6","内村光良（ウッチャンナンチャン）","ウチムラテルヨシ（ウッチャンナンチャン）","61","23","136","759"
"131","247","197","小杉竜一（ブラックマヨネーズ）","コスギリュウイチ（ブラックマヨネーズ）","52","23","157","806"
"131","224","177","白石麻衣","シライシマイ（ノギザカフォーティーシックス）","33","23","123","1018"
"131","332","320","戸田恵梨香","トダエリカ","37","23","263","121"
"131","298","348","中条あやみ","ナカジョウアヤミ","28","23","263","369"
"131","","147","長嶋一茂","ナガシマカズシゲ","59","23","64","1142"
"131","87","155","博多華丸・大吉","ハカタハナマルダイキチ","","23","46","1118"
"131","116","93","back number","バックナンバー","","23","216","75"
"140","122","320","遠藤憲一","エンドウケンイチ","64","22.7","279","382"
"140","134","197","竹内涼真","タケウチリョウマ","32","22.7","123","1106"
"140","485","223","NiziU","ニジュー","","22.7","180","812"
"140","","296","深田恭子","フカダキョウコ","43","22.7","216","327"
"140","","","松井ケムリ（令和ロマン）","マツイケムリ（レイワロマン）","32","22.7","325","139"
"140","43","54","松本人志（ダウンタウン）","マツモトヒトシ（ダウンタウン）","62","22.7","30","1216"
"140","163","71","山﨑賢人","ヤマザキケント","31","22.7","263","515"
"140","268","260","吉沢亮","ヨシザワリョウ","31","22.7","180","581"
