"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"新垣　結衣",52.1,88.1,4.2,26.7,10.7,10.5,49.6,5.5,13.1
2,"吉岡　里帆",47.8,81.5,7.0,20.4,10.1,7.6,43.8,4.6,14.3
3,"長澤　まさみ",47.5,86.9,9.0,16.2,17.4,11.8,31.6,17.4,26.0
4,"綾瀬　はるか",44.7,88.9,12.8,21.6,15.9,11.8,41.4,8.6,19.7
5,"芦田　愛菜",43.0,87.2,6.2,21.9,13.5,20.9,39.0,3.4,3.9
6,"石原　さとみ",41.3,88.2,4.1,16.7,11.7,7.0,39.9,6.7,17.8
7,"内田　有紀",39.6,81.0,2.4,15.0,12.4,9.7,24.9,15.0,36.5
8,"上戸　彩",39.3,91.2,4.6,15.7,10.8,9.6,38.2,7.4,18.7
9,"広瀬　すず",39.2,86.0,4.1,16.6,10.3,5.1,46.3,5.8,4.5
10,"北川　景子",39.0,87.9,5.6,18.7,10.5,9.0,26.4,20.8,29.5
11,"深田　恭子",37.9,87.9,2.1,12.8,15.6,5.6,38.3,4.5,26.4
12,"有村　架純",37.8,82.3,2.2,16.9,7.9,6.9,42.0,3.5,9.0
13,"川口　春奈",37.5,77.7,8.3,16.6,10.0,6.2,38.8,7.3,7.0
14,"吉高　由里子",37.1,80.9,13.2,9.1,23.6,6.9,28.4,7.3,12.2
14,"今田　美桜",37.1,66.4,3.5,13.9,8.1,5.9,39.5,5.1,5.9
16,"宇多田　ヒカル",36.8,90.7,4.1,5.2,34.0,10.4,5.5,24.6,11.5
17,"橋本　環奈",36.5,88.2,10.7,12.9,13.6,5.2,45.6,4.8,3.1
18,"本田　翼",36.1,82.3,8.1,13.5,13.1,5.1,41.7,6.3,4.6
19,"小池　栄子",35.4,87.5,20.5,5.9,20.5,12.6,5.5,16.7,22.6
20,"浜辺　美波",35.1,72.1,2.9,16.9,7.4,5.3,42.4,3.1,3.9
21,"広瀬　アリス",34.8,80.3,11.5,10.0,12.8,4.6,28.7,5.1,6.5
22,"石田　ゆり子",34.6,77.0,1.3,13.3,8.8,7.7,17.1,6.5,38.2
