"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
65,"桐谷　美玲",18.9,63.6,1.5,9.4,3.4,3.4,24.4,4.5,7.9
65,"本田　望結",18.9,66.4,2.9,4.1,4.6,1.5,23.3,1.0,2.9
65,"野呂　佳代",18.9,55.1,22.3,1.4,7.5,2.7,5.7,0.9,3.1
68,"ファ－ストサマ－ウイカ",18.7,61.2,18.4,2.2,13.0,2.9,3.1,7.0,5.8
68,"川栄　李奈",18.7,55.4,5.3,4.6,5.3,1.5,19.2,1.5,2.9
70,"渋谷　凪咲",18.5,44.1,14.9,3.3,5.1,2.1,16.1,0.7,1.9
71,"えなこ",18.4,52.3,1.9,3.1,8.9,2.2,25.2,2.1,4.5
72,"池田　美優",18.2,70.2,9.6,3.3,13.0,3.4,14.8,6.3,3.8
72,"二階堂　ふみ",18.2,60.4,1.7,5.3,10.3,4.1,15.6,6.2,8.7
72,"若槻　千夏",18.2,64.2,16.8,2.2,10.1,2.9,6.3,2.4,2.6
75,"榮倉　奈々",18.0,56.1,2.2,6.2,5.0,2.9,11.8,6.9,10.5
75,"磯山　さやか",18.0,50.8,7.5,3.8,4.6,2.7,13.2,2.1,10.3
77,"指原　莉乃",17.7,70.3,15.1,2.6,9.1,3.4,9.3,1.7,3.8
77,"滝沢　カレン",17.7,67.2,21.3,2.6,17.0,2.1,8.7,2.9,4.1
77,"比嘉　愛未",17.7,40.7,1.4,5.8,2.6,4.3,13.6,3.9,10.5
80,"黒沢　かずこ",17.5,69.5,33.6,1.0,13.4,1.7,1.9,1.4,1.4
80,"宮崎　あおい",17.5,55.9,1.2,7.9,5.1,3.3,18.5,2.1,8.4
82,"藤田　ニコル",17.3,74.4,8.1,2.6,12.0,3.8,16.6,1.9,2.7
82,"王林",17.3,60.9,14.8,2.9,13.7,1.2,16.5,1.5,3.3
82,"新木　優子",17.3,42.7,0.5,5.8,4.6,2.1,17.5,5.0,6.9
85,"ゆりやんレトリィバァ",17.2,75.8,32.1,0.7,24.2,1.9,1.2,2.6,1.7
86,"ロ－ラ",17.0,74.8,11.3,3.8,18.9,2.4,12.9,9.3,8.4
86,"倉科　カナ",17.0,47.2,1.0,5.3,4.1,1.9,17.0,2.1,8.2
86,"満島　ひかり",17.0,49.1,1.5,4.3,9.9,3.6,7.9,7.5,9.1
86,"内田　有紀",17.0,44.8,1.7,6.5,2.6,3.6,12.0,7.5,17.8
86,"木村　文乃",17.0,47.3,1.5,6.2,2.7,2.9,13.2,3.8,9.9
91,"やす子",16.8,78.0,24.5,2.1,19.6,4.1,3.3,1.9,1.9
91,"山下　美月",16.8,42.0,2.6,7.2,3.4,2.2,18.9,1.4,2.9
91,"芳根　京子",16.8,41.9,1.4,7.2,3.9,2.6,16.8,1.7,4.3
91,"影山　優佳",16.8,40.1,3.1,4.6,7.0,5.0,16.8,2.6,1.9
95,"サ－ヤ",16.6,49.7,21.4,2.1,9.1,3.1,5.7,4.5,1.5
95,"谷　まりあ",16.6,43.9,5.1,2.6,3.9,1.5,16.1,1.7,3.8
97,"菜々緒",16.5,62.8,1.2,5.8,7.2,3.3,5.5,19.9,17.7
97,"菅野　美穂",16.5,53.9,5.1,5.8,6.3,4.3,8.1,4.5,13.6
97,"小松　菜奈",16.5,51.6,0.5,5.0,15.1,4.1,11.0,9.4,8.6
100,"秋元　真夏",16.3,42.5,5.0,4.5,5.3,2.1,17.2,0.9,2.6
101,"大島　優子",16.1,66.0,4.6,4.5,5.3,2.9,18.5,2.6,5.0
101,"仲　里依紗",16.1,55.9,8.2,1.5,13.4,2.7,6.9,4.8,6.5
101,"石田　ゆり子",16.1,45.8,1.0,5.0,4.5,2.7,9.3,2.2,17.8
104,"松村　沙友理",16.0,40.3,6.5,2.6,5.1,1.5,15.4,0.7,1.2
105,"大島　美幸",15.8,69.6,33.3,0.5,12.9,2.7,0.9,1.4,1.2
105,"おかずクラブ",15.8,68.4,29.7,0.7,13.9,0.9,1.2,0.7,0.9
105,"藤本　美貴",15.8,53.2,10.6,2.7,5.1,4.3,8.1,3.9,5.7
105,"杉咲　花",15.8,49.6,2.2,5.5,6.2,3.6,16.5,1.5,2.6
109,"土屋　太鳳",15.6,66.9,1.4,8.1,8.7,3.3,14.6,5.7,6.0
110,"中川　翔子",15.3,71.0,11.7,1.4,19.4,2.2,9.8,1.5,3.1
110,"上白石　萌音",15.3,60.7,1.4,5.1,7.0,4.3,14.8,1.5,3.1
110,"ぼる塾",15.3,63.5,26.4,0.3,13.7,1.9,1.4,1.2,1.4
110,"井上　真央",15.3,54.2,0.5,5.1,4.5,1.9,11.7,1.5,5.5
114,"ＹＯＵ",15.1,68.3,12.7,2.1,21.4,2.9,3.6,5.8,14.8
114,"清野　菜名",15.1,41.7,1.4,8.4,3.9,2.2,14.9,3.8,3.3
114,"与田　祐希",15.1,36.0,2.1,4.1,4.1,1.5,17.2,0.5,3.1
117,"きゃり－ぱみゅぱみゅ",14.9,76.3,3.1,1.9,25.0,2.4,17.2,2.4,3.4
117,"夏帆",14.9,42.7,1.4,5.0,5.0,2.7,12.9,1.9,3.9
119,"横澤　夏子",14.8,62.3,26.2,1.4,12.0,2.7,1.5,1.4,1.9
119,"森　七菜",14.8,52.3,1.4,5.1,3.3,1.4,20.6,0.7,2.1
119,"山本　美月",14.8,48.5,1.0,6.7,4.5,1.7,15.8,3.8,7.0
122,"浅田　真央",14.6,75.6,0.9,6.9,8.1,5.5,7.5,4.8,3.1
122,"ゆうちゃみ",14.6,57.6,7.2,2.1,7.4,1.2,17.3,1.9,1.5
122,"ＭＥＧＵＭＩ",14.6,54.5,4.5,2.6,7.7,2.7,3.9,8.2,16.0
122,"鈴木　愛理",14.6,34.3,2.2,4.8,2.7,2.6,17.0,2.1,2.2
126,"井森　美幸",14.4,56.8,20.8,1.7,8.2,3.1,3.3,1.0,6.3
126,"河北　麻友子",14.4,55.1,10.3,2.9,6.5,1.4,11.8,3.6,3.8
126,"木村　佳乃",14.4,52.7,4.8,3.4,5.5,2.4,2.9,4.8,15.8
129,"柏木　由紀",14.2,61.4,6.2,4.3,5.7,2.7,12.2,1.5,3.9
129,"トリンドル　玲奈",14.2,63.3,3.1,4.8,4.3,1.7,22.5,1.7,2.4
129,"平　愛梨",14.2,54.9,7.4,2.6,7.2,1.5,12.5,2.1,3.6
129,"安藤　サクラ",14.2,47.9,3.1,1.4,14.4,4.5,1.2,5.7,9.1
129,"吉瀬　美智子",14.2,47.2,0.7,4.8,3.4,2.2,2.6,11.8,22.5
134,"蒼井　優",14.1,60.9,1.7,6.9,11.1,4.1,10.1,2.4,6.9
134,"永野　芽郁",14.1,70.0,3.9,5.1,7.0,1.5,21.8,1.4,3.3
136,"篠原　涼子",13.9,59.0,1.7,3.4,5.3,4.6,3.6,12.0,22.3
136,"齊藤　京子",13.9,35.7,2.6,3.6,3.9,2.4,14.1,3.4,2.4
138,"柳原　可奈子",13.7,63.0,21.6,2.6,12.3,2.4,4.6,0.9,1.9
138,"吉田　羊",13.7,53.5,1.7,2.9,8.1,4.3,1.7,7.9,18.0
138,"優香",13.7,52.3,5.5,3.6,6.0,4.1,13.0,1.0,6.9
138,"生駒　里奈",13.7,50.3,2.9,5.7,7.0,1.7,13.4,1.5,2.9
138,"深津　絵里",13.7,47.2,0.5,4.8,4.3,3.1,3.9,6.9,18.2
138,"清原　果耶",13.7,32.4,1.0,6.5,3.6,2.7,13.0,2.4,1.7
138,"高橋　ひかる",13.7,34.1,5.8,5.7,3.6,1.7,14.8,1.7,2.4
145,"松下　奈緒",13.6,52.0,1.0,5.3,2.7,3.6,3.6,5.1,15.3
145,"新川　優愛",13.6,34.5,1.0,4.3,1.9,1.5,14.6,0.9,4.3
147,"高嶋　ちさ子",13.4,64.2,10.3,2.1,14.4,2.9,0.9,8.2,9.1
147,"足立　梨花",13.4,49.1,4.5,4.1,3.1,1.5,13.6,1.9,3.6
147,"森川　葵",13.4,38.1,3.9,4.6,7.0,2.2,11.8,4.1,2.6
150,"水川　あさみ",13.2,49.1,3.3,3.3,4.8,3.6,6.0,6.0,11.8
151,"木村　カエラ",13.0,65.0,3.3,2.6,20.2,3.1,5.0,6.2,6.2
151,"堀田　茜",13.0,38.3,5.1,3.6,2.6,0.7,11.3,0.5,2.7
153,"北乃　きい",12.9,53.7,1.5,4.1,3.8,1.5,17.0,1.9,4.3
153,"百田　夏菜子",12.9,45.6,4.8,2.9,5.1,1.7,14.6,1.7,1.9
155,"ベッキ－",12.7,76.8,13.7,2.2,14.4,2.2,8.1,1.7,5.0
156,"柴田　理恵",12.5,70.2,25.0,0.9,17.5,3.4,0.7,2.2,3.3
156,"江口　のりこ",12.5,43.7,3.3,1.2,12.9,3.9,1.0,5.7,9.6
156,"桜井　日奈子",12.5,41.0,1.0,3.8,3.8,0.9,15.4,1.0,1.5
156,"飯豊　まりえ",12.5,38.9,1.0,5.3,3.6,1.5,14.2,1.5,3.3
156,"奈緒",12.5,38.4,1.2,4.3,6.7,2.1,8.4,1.5,3.8
161,"吉永　小百合",12.3,55.6,0.9,6.7,2.7,6.7,3.3,4.3,22.8
161,"加藤　綾子",12.3,52.3,1.5,5.3,3.1,4.8,11.3,2.2,9.4
161,"宮崎　美子",12.3,50.9,2.6,3.1,5.1,6.0,2.4,2.7,15.1
161,"井桁　弘恵",12.3,34.8,2.6,5.5,2.9,1.9,13.4,1.7,2.2
165,"北斗　晶",12.2,69.6,15.8,1.0,14.1,4.5,0.5,7.5,3.8
165,"小倉　優子",12.2,60.7,7.2,3.8,11.5,2.1,18.2,1.2,5.0
165,"武井　咲",12.2,60.5,0.7,8.1,3.6,1.4,14.6,2.7,9.8
165,"松本　まりか",12.2,44.3,2.4,3.1,8.9,2.1,9.3,2.1,9.1
165,"橋本　愛",12.2,37.6,1.0,3.8,6.5,2.7,9.1,6.5,5.0
165,"木南　晴夏",12.2,35.2,3.9,3.1,6.9,2.7,5.8,1.9,4.3
171,"筧　美和子",12.0,43.1,1.2,2.2,2.9,0.7,13.0,1.0,5.1
172,"アン　ミカ",11.8,72.9,18.9,2.2,21.4,4.6,1.7,5.7,9.6
172,"安達　祐実",11.8,57.3,1.2,3.8,6.9,3.3,14.6,1.9,12.3
174,"ホラン　千秋",11.7,63.3,4.8,4.6,7.7,5.7,4.8,5.1,6.9
174,"川島　海荷",11.7,47.7,1.0,5.0,3.1,2.1,16.8,0.9,1.5
174,"内田　理央",11.7,40.3,1.2,4.6,3.1,1.4,15.3,1.4,3.4
177,"橋本　マナミ",11.5,50.8,0.9,3.4,4.3,1.2,3.6,3.3,19.9
177,"上野　樹里",11.5,46.7,3.3,4.3,9.8,2.7,8.1,2.9,6.9
179,"皆藤　愛子",11.3,41.0,0.7,4.3,2.9,3.1,14.4,0.5,3.4
179,"本仮屋　ユイカ",11.3,41.2,1.2,4.3,2.6,2.4,10.8,1.4,5.0
179,"畑　芽育",11.3,24.2,1.4,2.9,1.4,0.7,10.8,1.0,1.2
182,"井上　咲楽",11.1,48.9,6.7,1.5,8.6,1.4,9.9,0.3,1.4
183,"大原　優乃",11.0,30.9,0.5,1.7,1.7,0.7,15.4,0.2,2.1
184,"馬場　ふみか",10.8,32.2,0.7,2.4,2.1,1.9,10.6,2.2,5.1
185,"アイナ・ジ・エンド",10.6,46.1,3.1,1.5,15.1,1.5,4.5,6.2,2.6
185,"島崎　和歌子",10.6,47.5,15.6,1.5,6.2,2.2,1.7,1.9,4.3
185,"大原　櫻子",10.6,43.7,0.9,3.1,2.6,1.0,14.8,1.4,2.6
185,"宮脇　咲良",10.6,38.9,1.4,3.8,2.2,1.9,14.9,3.3,1.9
185,"貴島　明日香",10.6,36.7,0.9,5.5,3.4,1.4,12.7,1.9,3.9
