"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/男性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"ガンバレル－ヤ",32.6,74.4,42.7,1.8,13.2,2.6,3.5,1.8,0.9
1,"広瀬　すず",32.6,70.9,4.0,11.0,7.0,4.8,36.1,4.4,8.4
3,"いとう　あさこ",30.4,71.4,37.4,1.8,11.9,8.8,2.6,1.8,6.6
4,"やす子",26.9,81.9,37.0,2.6,21.6,6.2,2.2,4.0,2.2
4,"芦田　愛菜",26.9,63.4,7.0,14.5,7.5,11.0,19.4,4.8,3.1
4,"長澤　まさみ",26.9,52.4,5.3,7.0,5.7,5.3,13.7,14.5,15.9
7,"橋本　環奈",26.4,70.5,8.4,6.6,7.9,3.1,32.2,3.1,6.2
7,"新垣　結衣",26.4,52.0,4.0,12.8,4.4,5.7,24.7,4.4,7.9
9,"阿佐ヶ谷姉妹",25.6,73.1,35.7,2.6,18.1,6.2,1.8,2.6,5.7
10,"綾瀬　はるか",24.7,59.9,6.6,12.3,5.3,7.0,19.4,6.6,15.4
11,"渡辺　直美",23.8,72.2,30.0,2.2,25.6,7.0,1.3,9.3,2.2
11,"近藤　春菜",23.8,65.2,37.4,0.4,11.0,5.3,1.3,1.8,2.2
13,"イモトアヤコ",23.3,64.8,30.0,1.3,17.2,4.8,1.8,3.1,1.3
13,"今田　美桜",23.3,48.0,3.1,11.0,3.1,3.1,28.6,1.8,4.8
15,"浜辺　美波",22.9,52.4,3.1,11.5,3.1,3.1,27.3,2.2,3.5
15,"幾田　りら",22.9,51.1,4.0,2.6,7.9,1.8,13.2,6.2,1.8
17,"大久保　佳代子",22.0,58.6,30.0,1.3,9.3,4.8,0.9,2.6,6.2
18,"広瀬　アリス",21.6,54.6,6.6,4.8,5.3,3.1,16.7,2.2,6.2
18,"有村　架純",21.6,48.9,1.8,9.3,4.0,4.4,20.3,0.9,7.0
20,"あの",20.3,76.2,14.1,1.8,34.4,2.2,11.5,4.0,2.6
20,"吉岡　里帆",20.3,41.0,3.5,7.5,3.1,4.4,17.6,1.8,7.9
22,"本田　翼",19.8,52.0,4.0,4.4,6.2,2.2,19.4,1.8,6.2
23,"宇多田　ヒカル",19.4,61.7,2.2,4.8,14.1,6.6,2.2,13.7,8.4
23,"ヒコロヒ－",19.4,56.8,24.2,0.4,13.2,3.5,0.9,9.3,6.2
25,"佐藤　栞里",18.9,49.3,11.0,8.4,5.7,5.7,14.5,2.6,3.5
26,"王林",18.5,59.5,20.3,4.0,11.5,2.6,15.9,1.3,4.8
26,"川口　春奈",18.5,52.4,5.7,8.4,4.8,1.8,20.7,4.0,3.5
28,"生見　愛瑠",18.1,48.5,4.4,3.1,4.4,0.9,23.3,0.4,3.5
29,"北川　景子",17.6,46.7,2.2,10.1,3.1,4.4,8.4,10.6,17.2
29,"小芝　風花",17.6,35.7,1.8,6.6,3.5,1.8,16.7,2.2,2.6
31,"おかずクラブ",17.2,59.5,26.9,1.3,10.1,2.6,1.3,0.4,1.3
31,"米倉　涼子",17.2,52.9,5.3,4.4,7.5,4.0,2.2,16.3,17.6
31,"上白石　萌歌",17.2,48.5,2.2,7.5,5.3,3.5,18.9,1.3,2.2
34,"池田　美優",16.7,65.2,11.9,3.1,10.6,3.5,11.5,6.6,7.5
34,"大島　美幸",16.7,52.0,27.3,0.4,7.9,3.5,0.9,1.3,0.9
34,"椿　鬼奴",16.7,50.2,24.2,0.4,11.5,1.3,0,2.6,3.1
37,"上戸　彩",16.3,46.3,3.1,6.2,2.2,3.1,14.1,4.4,8.4
38,"アン　ミカ",15.9,69.6,22.0,1.3,15.4,3.5,0,4.8,7.0
38,"ぼる塾",15.9,62.1,30.0,1.8,11.5,1.3,0.9,1.3,0.4
38,"石原　さとみ",15.9,50.7,2.6,6.6,5.3,4.8,17.6,5.3,12.8
38,"黒沢　かずこ",15.9,50.2,26.4,0.4,11.5,0.4,0.4,0,0.9
38,"横澤　夏子",15.9,50.7,22.5,0.9,7.5,4.8,2.6,2.2,1.3
38,"上白石　萌音",15.9,49.3,3.1,8.8,4.4,4.0,15.9,1.3,2.2
38,"小池　栄子",15.9,41.0,11.5,2.2,6.2,4.4,1.8,9.7,9.3
45,"藤田　ニコル",15.4,62.6,6.2,1.3,12.8,2.6,13.2,3.5,4.4
45,"白石　麻衣",15.4,45.8,3.1,7.0,4.0,1.8,17.6,2.6,6.6
45,"若槻　千夏",15.4,45.8,15.9,3.1,7.5,3.5,4.0,3.1,3.1
48,"友近",15.0,48.5,25.6,0,7.9,2.6,0.4,4.0,4.0
48,"朝日　奈央",15.0,42.3,16.3,4.0,5.7,1.8,8.8,0.9,3.1
48,"福原　遥",15.0,31.7,0.9,7.5,1.8,2.2,18.5,0.9,2.2
51,"ゆりやんレトリィバァ",14.1,67.8,29.1,1.8,18.5,1.3,2.2,2.2,1.3
51,"高畑　充希",14.1,39.2,1.3,4.8,7.0,4.0,11.9,3.5,4.4
51,"野呂　佳代",14.1,36.6,15.9,1.3,6.2,2.2,4.8,2.2,2.2
51,"吉高　由里子",14.1,36.1,2.2,2.6,5.3,1.8,8.8,2.2,8.4
55,"ゆうちゃみ",13.7,58.6,7.9,0.9,6.6,1.3,13.7,0.4,3.1
55,"清野　菜名",13.7,29.5,1.8,5.7,2.6,1.3,9.3,4.0,4.8
57,"滝沢　カレン",13.2,52.0,14.1,2.2,14.1,0.4,7.5,1.8,4.4
57,"柴田　理恵",13.2,48.5,12.8,0.9,12.3,4.0,0.4,1.8,2.2
57,"高嶋　ちさ子",13.2,52.0,13.7,0.4,16.3,3.5,1.3,7.9,8.8
57,"松　たか子",13.2,41.9,3.5,5.3,5.7,5.3,4.4,6.2,13.7
57,"深田　恭子",13.2,36.6,0.4,2.6,3.1,1.8,13.7,0.9,11.9
62,"きゃり－ぱみゅぱみゅ",12.8,68.3,5.7,0.9,25.1,0,11.9,2.6,3.1
62,"かなで",12.8,58.1,27.3,0,14.1,0.4,3.5,0.9,0.4
62,"菜々緒",12.8,41.9,3.1,3.5,9.3,2.2,4.4,13.2,12.8
62,"池田　エライザ",12.8,39.6,1.8,2.2,5.3,2.6,11.0,6.6,6.6
62,"伊藤　沙莉",12.8,34.4,5.7,4.0,11.0,3.1,6.2,1.8,4.0
62,"戸田　恵梨香",12.8,35.7,1.8,3.5,6.6,4.0,6.6,8.8,11.9
68,"永野　芽郁",12.3,56.4,6.2,4.4,7.9,2.6,16.3,0.4,4.8
68,"本田　望結",12.3,40.5,0.9,4.0,3.5,1.3,12.3,1.3,3.1
68,"齋藤　飛鳥",12.3,36.6,1.3,4.0,5.7,2.2,16.7,1.8,3.5
68,"中条　あやみ",12.3,34.8,1.3,5.3,2.6,1.3,13.2,5.3,6.2
72,"和田　アキ子",11.9,64.8,13.7,1.8,16.7,4.4,0.9,4.8,4.4
72,"ファ－ストサマ－ウイカ",11.9,50.2,18.1,2.2,10.6,2.6,2.2,5.7,4.4
72,"ホラン　千秋",11.9,50.7,8.8,3.5,7.5,3.1,2.6,6.6,7.9
72,"二階堂　ふみ",11.9,39.2,0.4,1.8,7.0,1.8,7.0,4.8,7.0
72,"多部　未華子",11.9,33.5,1.8,4.4,4.0,2.2,10.6,2.6,4.4
72,"木村　佳乃",11.9,30.0,6.2,2.2,4.4,2.6,3.5,3.5,9.7
78,"谷　まりあ",11.5,30.8,4.0,1.8,1.8,0.4,9.7,1.3,4.0
79,"中川　翔子",11.0,50.7,7.5,1.8,18.1,1.3,5.3,1.3,1.8
79,"田中　みな実",11.0,43.6,2.6,2.6,5.7,0.9,10.1,2.6,11.5
79,"佐々木　希",11.0,41.4,2.6,5.3,2.6,3.1,15.4,4.0,7.0
79,"波瑠",11.0,36.6,2.2,4.8,3.1,2.2,8.4,3.5,7.5
79,"石川　佳純",11.0,33.5,0.4,4.4,2.6,4.0,6.2,6.6,2.6
79,"小松　菜奈",11.0,28.6,1.3,1.8,7.0,0.9,6.6,6.2,4.0
85,"ロ－ラ",10.6,51.1,7.9,3.5,9.7,0.9,5.7,5.7,7.5
85,"天海　祐希",10.6,35.2,3.1,4.4,4.4,6.6,1.3,12.3,17.6
85,"仲　里依紗",10.6,37.4,9.3,2.2,13.2,2.2,6.6,5.7,5.7
85,"森　七菜",10.6,37.0,2.2,3.1,4.0,2.2,13.7,0.4,0.4
85,"河北　麻友子",10.6,30.8,9.7,0.9,2.2,0.4,5.3,1.8,4.4
85,"芳根　京子",10.6,26.9,0.4,5.7,2.6,3.5,14.5,1.3,3.1
91,"指原　莉乃",10.1,49.8,13.2,3.1,7.0,2.6,5.7,1.8,3.5
91,"仲間　由紀恵",10.1,35.2,0.9,3.1,4.8,3.1,1.3,4.4,11.5
91,"西野　七瀬",10.1,33.0,1.3,4.0,2.6,0.4,15.0,0,2.6
91,"桐谷　美玲",10.1,30.8,0,4.0,2.6,0.9,9.3,1.8,4.8
91,"渋谷　凪咲",10.1,28.6,5.7,2.6,5.3,0.4,12.3,0.4,1.3
96,"丸山　桂里奈",9.7,50.7,22.9,0,13.2,1.3,0,1.8,1.3
96,"土屋　太鳳",9.7,45.4,0.9,5.3,5.7,1.3,10.6,4.0,5.3
96,"吉田　羊",9.7,28.6,2.6,2.2,2.6,2.2,1.3,4.4,11.5
