"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
64,"小栗　旬",33.3,96.0,6.4,9.8,20.1,11.2,1.9,41.2,27.1
65,"生田　斗真",33.1,94.2,7.6,14.6,12.6,5.0,4.5,48.2,9.3
65,"平野　紫耀",33.1,89.4,19.9,14.0,12.4,3.0,16.0,50.4,3.7
67,"高田　純次",33.0,95.8,52.3,2.6,39.0,4.5,1.6,8.2,22.6
67,"安田　顕",33.0,82.3,21.2,3.4,28.0,8.9,1.6,14.6,29.4
69,"堤　真一",32.7,94.9,10.4,5.8,16.5,12.6,1.2,23.8,50.5
70,"二宮　和也",32.5,96.4,21.6,9.5,19.4,10.7,7.9,19.3,4.8
70,"坂口　健太郎",32.5,87.6,2.0,22.2,10.4,4.7,7.9,38.6,8.1
72,"妻夫木　聡",32.0,95.8,2.3,18.5,12.0,8.9,4.5,42.8,17.1
73,"桑田　佳祐",31.9,95.6,15.6,2.6,32.8,12.8,0.8,13.1,26.7
73,"柳楽　優弥",31.9,87.7,3.1,5.6,33.6,7.8,2.6,25.5,6.5
75,"高橋　一生",31.7,94.4,4.0,13.1,27.8,8.2,3.1,31.1,24.6
75,"原田　泰造",31.7,95.5,46.7,4.7,20.5,9.8,2.2,7.2,10.1
77,"設楽　統",31.6,94.1,44.9,4.7,17.9,11.7,1.7,4.2,8.9
77,"山田　涼介",31.6,90.4,9.3,23.0,8.4,5.0,24.9,47.3,2.8
79,"吉田　鋼太郎",31.4,93.9,16.0,2.8,30.6,9.8,3.4,16.3,47.7
80,"相葉　雅紀",31.3,96.3,16.6,15.9,9.6,11.7,13.4,17.7,3.7
80,"小島　よしお",31.3,96.1,45.7,4.4,31.3,14.0,2.6,2.5,1.9
80,"シソンヌ",31.3,79.5,43.4,1.2,28.3,4.8,2.2,1.4,1.6
83,"出川　哲朗",30.8,97.0,52.9,1.1,32.2,8.4,6.1,0.6,1.4
83,"藤原　竜也",30.8,95.5,7.5,6.4,37.2,10.7,3.1,23.0,13.2
85,"菅田　将暉",30.6,95.8,7.5,8.7,44.5,8.2,4.2,26.0,5.3
85,"川島　明",30.6,91.4,41.2,8.1,20.5,16.6,1.1,6.8,8.4
87,"北村　匠海",30.5,84.0,2.0,11.8,14.8,5.3,10.4,32.8,3.0
88,"八嶋　智人",30.3,92.8,46.2,3.4,35.8,6.1,2.2,2.6,5.1
88,"松下　洸平",30.3,77.6,4.0,19.0,6.1,7.6,5.1,33.0,8.2
90,"星野　源",30.2,96.3,12.9,12.4,31.6,11.0,5.4,8.9,6.8
91,"津田　健次郎",29.9,66.9,4.7,4.5,18.2,7.9,2.2,29.4,35.6
92,"福山　雅治",29.7,96.6,14.3,15.7,12.9,8.6,1.4,44.0,41.8
92,"おぎやはぎ",29.7,95.6,44.2,3.1,29.9,6.4,1.4,1.2,7.0
94,"堂本　剛",29.5,96.7,17.6,6.8,50.5,7.9,5.0,22.6,8.6
94,"若林　正恭",29.5,92.1,45.1,2.5,20.7,10.7,5.1,1.2,1.1
96,"藤木　直人",29.4,93.9,2.2,17.1,7.8,5.9,1.7,41.8,35.1
96,"佐藤　二朗",29.4,91.8,35.3,0.6,49.6,4.7,2.3,1.4,4.7
96,"瀬戸　康史",29.4,85.4,2.3,18.8,7.9,5.1,21.9,33.4,5.0
99,"有吉　弘行",29.2,96.6,42.3,3.0,23.2,10.7,1.2,1.4,3.0
100,"オダギリ　ジョ－",29.1,94.6,4.8,3.1,46.3,5.3,1.1,32.7,33.0
100,"堂本　光一",29.1,96.1,15.4,14.3,18.5,8.9,4.0,34.8,12.3
102,"山里　亮太",28.9,96.4,46.3,2.3,32.5,12.4,1.9,1.7,1.9
102,"松山　ケンイチ",28.9,93.5,12.0,5.3,34.2,10.0,2.0,20.7,12.8
104,"江口　洋介",28.8,94.2,2.3,10.0,14.6,10.9,0.5,35.5,50.9
104,"北村　一輝",28.8,92.8,9.3,4.4,36.1,8.6,1.1,26.1,41.2
104,"サンシャイン池崎",28.8,93.3,41.2,1.1,30.3,10.4,0.9,0.9,0.8
107,"綾野　剛",28.5,95.0,2.2,5.8,38.7,5.9,1.9,31.4,20.7
107,"柄本　佑",28.5,88.0,2.5,5.4,46.0,8.4,0.3,12.0,12.6
109,"山崎　育三郎",28.3,88.2,10.9,16.3,16.0,9.3,3.6,25.3,13.8
109,"松田　元太",28.3,68.7,32.0,7.2,12.1,3.3,9.5,22.2,1.9
111,"竹中　直人",28.1,96.3,30.8,1.9,49.3,6.4,0.9,8.1,22.6
111,"井浦　新",28.1,77.6,1.9,8.6,22.1,7.6,1.4,23.0,34.5
113,"志尊　淳",28.0,87.1,3.0,16.6,8.6,5.4,19.0,40.4,3.9
113,"山田　裕貴",28.0,82.0,10.9,9.6,19.3,5.9,4.2,30.8,3.3
115,"櫻井　翔",27.8,96.7,9.6,20.7,10.1,17.3,5.3,24.0,6.8
115,"松田　翔太",27.8,91.3,2.3,7.3,32.7,3.3,1.1,33.1,14.8
115,"佐久間　大介",27.8,75.6,19.6,9.3,19.1,5.3,19.4,18.7,1.4
118,"笑福亭　鶴瓶",27.7,97.0,44.3,2.3,25.0,12.0,4.2,0.9,7.5
118,"松平　健",27.7,96.0,9.3,4.4,19.1,12.6,2.2,15.2,34.5
120,"松本　潤",27.5,96.9,7.3,10.7,18.7,9.5,3.9,36.1,7.8
120,"仲野　太賀",27.5,71.1,14.9,5.0,24.4,7.0,3.4,8.6,2.8
122,"山本　耕史",27.4,93.5,19.3,8.2,28.1,10.1,1.7,19.0,18.7
122,"満島　真之介",27.4,84.8,27.7,7.3,26.1,4.7,2.6,17.1,3.1
124,"香取　慎吾",27.1,96.9,18.4,5.4,30.2,8.9,8.1,17.3,8.1
124,"舘　ひろし",27.1,96.0,3.7,6.8,11.8,12.1,1.6,33.3,63.5
124,"中井　貴一",27.1,94.6,9.5,8.9,16.3,14.8,0.9,19.0,49.5
124,"木村　昴",27.1,85.5,30.5,3.7,22.6,6.5,2.2,10.0,4.2
124,"千葉　雄大",27.1,87.1,7.3,8.6,10.9,3.6,37.0,18.7,1.7
124,"宮舘　涼太",27.1,67.0,30.8,10.1,19.9,6.2,6.1,14.9,3.9
130,"役所　広司",26.7,95.3,2.3,3.3,18.8,14.6,0.6,19.9,54.4
130,"中島　健人",26.7,87.9,9.2,14.8,12.1,4.7,11.5,45.3,4.2
132,"関根　勤",26.4,96.4,41.8,4.5,24.6,11.2,4.5,3.0,9.3
132,"豊川　悦司",26.4,93.5,2.3,2.5,22.6,7.2,0.8,28.6,56.9
132,"仲村　トオル",26.4,93.2,2.5,8.1,10.7,9.0,0.9,32.8,49.8
132,"福士　蒼汰",26.4,91.8,1.6,17.0,5.8,2.3,5.4,48.4,4.2
136,"柳葉　敏郎",26.3,95.8,7.6,2.6,19.3,12.3,2.0,17.1,42.8
136,"錦鯉",26.3,91.9,39.2,0.5,24.9,3.7,3.3,1.1,2.3
138,"内野　聖陽",26.0,81.3,4.8,3.7,19.4,9.0,1.7,23.6,43.5
139,"春日　俊彰",25.8,96.4,44.8,2.0,31.7,4.7,1.4,1.6,1.9
139,"劇団ひとり",25.8,95.6,48.7,2.6,35.6,9.5,2.2,1.9,3.7
139,"生瀬　勝久",25.8,89.1,18.4,3.1,38.1,8.6,0.5,5.4,22.6
139,"滝藤　賢一",25.8,83.8,11.0,2.0,50.7,6.7,1.2,8.1,18.5
143,"椎名　桔平",25.7,92.5,4.5,5.4,14.0,7.6,1.1,29.7,50.9
143,"上川　隆也",25.7,89.9,6.4,8.2,14.0,11.8,0.6,18.5,39.3
143,"みやぞん",25.7,93.6,43.4,1.4,30.2,7.5,4.7,1.4,0.9
143,"ぺこぱ",25.7,89.1,35.6,2.8,21.0,2.8,5.8,1.7,0.5
147,"柳沢　慎吾",25.5,95.2,49.6,1.7,33.9,5.0,2.2,2.0,4.2
148,"濱田　岳",25.3,91.6,14.6,2.8,42.0,7.3,6.2,1.4,1.1
148,"ブラックマヨネ－ズ",25.3,95.3,50.4,0.6,23.6,3.7,1.4,0.6,1.6
148,"真田　広之",25.3,89.3,0.9,4.7,18.2,13.1,0.5,28.3,49.1
151,"窪田　正孝",25.2,86.3,1.6,7.6,28.0,4.5,5.0,23.8,4.5
152,"桐谷　健太",25.0,92.5,18.0,5.6,29.9,6.4,1.4,19.8,8.9
152,"間宮　祥太朗",25.0,84.9,4.7,10.7,14.3,4.5,2.5,35.6,5.9
154,"長谷川　博己",24.9,84.0,2.0,11.5,13.1,6.1,1.4,28.1,38.7
155,"佐藤　浩市",24.7,94.2,2.8,3.7,16.5,13.5,1.1,20.7,56.3
155,"松岡　修造",24.7,96.1,28.9,9.6,31.4,12.0,0.8,5.9,4.8
157,"宮川　大輔",24.6,95.6,49.0,1.9,27.5,5.4,1.1,1.9,3.1
158,"小峠　英二",24.4,94.2,48.7,1.9,29.4,7.8,2.0,2.2,2.3
158,"ユ－スケ・サンタマリア",24.4,95.6,34.8,1.6,38.4,4.7,1.4,3.1,9.0
158,"岩田　剛典",24.4,85.1,2.0,14.5,6.7,3.9,8.6,43.1,5.6
161,"草なぎ　剛",24.3,96.6,14.6,8.2,35.6,10.0,2.6,7.9,8.9
162,"井ノ原　快彦",24.1,95.3,11.4,12.1,10.9,15.2,2.5,7.9,12.4
162,"亀梨　和也",24.1,95.8,5.4,14.6,11.0,6.5,2.2,43.4,9.5
162,"市原　隼人",24.1,93.6,4.5,10.4,26.4,7.6,2.3,31.7,11.5
162,"浜田　雅功",24.1,96.9,45.1,1.7,22.9,6.2,2.0,2.6,5.3
166,"本木　雅弘",24.0,92.1,3.3,7.8,22.9,10.1,0.6,29.5,46.8
166,"永山　瑛太",24.0,86.2,2.3,4.5,24.6,5.3,0.9,27.4,14.5
168,"角田　晃広",23.8,73.9,33.1,2.8,26.7,5.4,0.8,1.6,5.0
169,"ケンド－コバヤシ",23.2,94.9,48.8,0.9,29.2,5.4,1.4,4.2,8.7
169,"高橋　克実",23.2,94.2,29.2,2.0,35.5,9.3,2.5,1.7,11.7
169,"田辺　誠一",23.2,87.7,6.7,8.9,15.9,6.1,1.9,21.9,33.7
172,"澤部　佑",22.9,93.3,43.1,2.3,17.0,5.9,3.3,1.1,1.1
173,"北大路　欣也",22.7,93.6,2.0,4.0,17.0,17.1,0.3,15.4,48.7
174,"塚地　武雅",22.6,93.3,44.5,0.9,30.0,8.1,3.7,1.4,1.9
174,"松村　北斗",22.6,61.7,5.0,11.8,6.2,2.2,7.2,26.4,2.0
176,"有田　哲平",22.4,96.0,47.6,1.9,21.6,4.7,0.6,1.2,2.6
176,"児嶋　一哉",22.4,91.9,38.9,2.5,18.8,7.2,1.6,1.1,1.9
176,"高橋　茂雄",22.4,92.5,44.6,2.8,18.7,5.0,2.6,0.6,1.7
176,"古田　新太",22.4,91.0,21.2,1.4,47.4,5.3,1.2,3.6,15.7
180,"木梨　憲武",22.2,95.3,33.3,3.1,34.2,7.0,1.2,8.2,14.6
180,"中尾　明慶",22.2,89.6,17.3,4.8,22.4,5.4,7.9,6.2,3.4
182,"玉森　裕太",22.1,86.9,4.0,16.3,6.8,2.8,21.6,34.5,2.2
182,"ラウ－ル",22.1,83.5,8.9,12.9,20.1,4.2,9.6,37.0,2.6
184,"吉川　晃司",21.9,93.5,2.0,4.0,19.8,7.3,1.2,31.7,49.3
184,"松田　龍平",21.9,90.2,3.6,4.7,39.8,4.7,1.6,17.1,15.6
184,"大森　南朋",21.9,85.8,2.0,1.6,30.3,4.7,1.2,10.3,28.1
187,"上田　晋也",21.8,96.3,39.5,1.9,15.1,11.5,0.6,1.6,4.8
188,"小池　徹平",21.6,94.4,3.4,15.2,7.6,2.5,34.8,19.4,2.0
188,"岡部　大",21.6,79.9,32.0,2.3,19.3,5.0,3.4,0.2,0.6
190,"又吉　直樹",21.5,95.8,21.3,1.4,50.5,7.2,0.9,2.5,4.8
190,"草刈　正雄",21.5,92.8,5.0,4.8,16.6,10.4,2.3,20.5,51.2
190,"尾上　松也",21.5,89.1,13.8,6.7,27.1,5.1,1.4,11.0,10.0
190,"村上　信五",21.5,91.3,39.3,4.0,15.4,7.5,2.8,5.9,2.0
190,"三浦　翔平",21.5,83.2,3.7,14.6,6.5,2.6,3.9,42.6,6.5
195,"佐藤　隆太",21.3,93.6,12.0,9.0,17.3,8.7,3.3,12.1,9.6
195,"成田　凌",21.3,81.5,2.6,6.2,18.7,1.2,3.3,30.3,6.2
197,"柄本　明",21.2,90.5,7.6,1.1,42.6,10.3,0.3,4.0,19.0
197,"ヒロミ",21.2,96.4,23.0,2.6,21.5,12.9,0.9,3.9,14.5
197,"竹内　涼真",21.2,91.4,3.0,14.2,10.0,2.6,4.4,35.3,5.0
197,"野村　萬斎",21.2,88.6,2.3,7.5,28.6,12.1,0.5,10.6,26.4
201,"渡辺　謙",21.0,94.7,2.0,3.4,15.7,11.4,0.9,19.4,50.9
201,"永瀬　廉",21.0,82.6,5.8,12.0,6.7,3.0,10.6,39.2,1.4
201,"道枝　駿佑",21.0,72.2,2.5,15.6,4.2,2.6,31.4,25.0,1.7
204,"鈴木　福",20.8,95.3,3.4,10.1,10.3,6.2,26.6,3.1,0.8
204,"中川　大志",20.8,80.9,2.8,15.7,5.1,3.3,6.2,37.6,2.2
204,"磯村　勇斗",20.8,65.2,2.2,7.9,12.1,3.1,5.6,24.6,3.3
207,"田中　卓志",20.7,93.9,47.0,0.5,31.9,7.0,1.2,0.3,2.6
207,"林　修",20.7,96.1,11.8,2.5,20.1,25.3,0.6,1.4,5.1
207,"渡部　篤郎",20.7,91.9,3.3,3.9,20.4,6.5,0.9,21.2,48.7
207,"羽鳥　慎一",20.7,92.2,7.6,8.4,10.0,19.1,0.8,5.1,6.7
211,"要　潤",20.5,95.2,8.9,10.4,18.2,6.1,1.4,25.2,25.0
211,"ビ－トたけし（北野　武）",20.5,97.4,20.4,1.1,36.4,12.4,0.5,5.9,12.9
211,"寺島　進",20.5,84.6,6.4,2.0,26.0,6.5,0.9,14.9,33.6
211,"タイムマシ－ン３号",20.5,69.2,33.6,0.8,14.5,1.7,2.6,0.2,0.3
215,"水谷　豊",20.4,94.9,3.4,6.5,22.6,12.3,1.2,10.6,43.2
215,"ＥＸＩＴ",20.4,93.3,32.0,3.7,23.8,2.6,4.0,11.0,0.9
215,"森山　未來",20.4,88.0,2.0,3.7,51.9,5.4,0.8,10.4,6.8
215,"吉村　崇",20.4,91.4,41.4,1.9,17.7,5.0,1.6,3.0,2.3
215,"野間口　徹",20.4,79.5,7.3,2.0,43.4,6.8,0.9,1.1,7.5
215,"赤楚　衛二",20.4,66.6,1.6,14.9,4.2,2.6,8.6,26.4,2.3
221,"伊藤　英明",20.2,92.5,4.4,4.5,15.1,6.2,0.6,29.7,29.9
222,"横山　裕",20.1,90.0,28.1,6.8,15.2,5.3,5.3,15.4,3.6
223,"稲垣　吾郎",19.9,96.3,8.1,14.3,27.5,5.4,2.5,15.2,19.1
223,"笹野　高史",19.9,89.7,12.1,1.7,37.2,9.8,4.7,1.6,12.4
223,"ダイアン",19.9,79.2,35.1,0.8,18.5,1.1,2.6,0.2,0.6
226,"浅野　忠信",19.8,92.1,3.1,1.7,28.9,5.8,0.6,23.3,41.4
226,"ウエンツ　瑛士",19.8,94.4,21.3,10.7,12.9,5.4,8.7,15.6,2.2
226,"城田　優",19.8,92.1,5.4,8.4,20.2,5.1,0.9,34.1,11.7
229,"岡村　隆史",19.6,96.6,44.8,1.9,22.6,4.4,3.7,1.1,1.4
229,"阿部　亮平",19.6,64.9,3.9,14.5,6.5,8.1,6.5,14.8,1.4
231,"高橋　克典",19.4,92.7,3.6,5.8,12.6,6.2,0.5,22.7,45.4
232,"山口　智充",19.3,93.5,39.7,2.8,20.4,6.7,0.9,4.7,6.8
233,"平子　祐希",19.1,72.6,29.1,3.3,14.6,3.6,0.6,7.8,10.4
233,"高橋　海人",19.1,66.4,4.7,8.2,7.6,2.6,17.7,21.2,0.8
235,"織田　裕二",19.0,95.2,3.6,5.9,19.8,8.1,1.1,17.0,26.4
235,"小籔　千豊",19.0,91.8,39.7,0.6,32.8,5.6,0.5,1.1,2.6
235,"林　遣都",19.0,82.4,2.3,10.0,15.2,4.4,4.2,19.4,3.1
235,"ミキ",19.0,86.2,32.7,1.7,15.2,2.2,5.1,0.9,0.6
239,"谷原　章介",18.8,93.9,2.0,18.7,8.9,12.4,0.9,20.7,28.8
239,"柴田　英嗣",18.8,88.8,39.8,2.5,18.2,6.8,1.4,3.0,3.3
239,"戸次　重幸",18.8,71.1,11.4,3.7,17.1,4.0,1.9,11.4,15.7
242,"新田　真剣佑",18.7,86.5,1.1,8.9,10.9,2.3,3.0,45.3,4.0
242,"玉山　鉄二",18.7,86.5,1.7,3.0,15.4,4.0,0.5,29.4,27.4
242,"大橋　和也",18.7,69.2,15.7,9.3,7.2,1.9,26.9,7.8,0.8
245,"高橋　文哉",18.5,55.1,2.6,11.7,4.4,2.2,13.7,23.3,0.6
245,"町田　啓太",18.5,56.0,1.2,12.0,4.0,2.2,1.9,28.0,4.4
247,"伊藤　淳史",18.4,91.9,11.2,4.8,31.7,6.8,6.5,2.0,1.7
247,"加瀬　亮",18.4,76.2,0.8,6.5,19.4,3.7,0.6,16.3,15.9
247,"向井　康二",18.4,64.5,23.8,4.5,12.3,3.0,6.7,10.1,1.6
250,"六角　精児",18.2,88.8,14.5,0.6,50.7,3.7,0.5,0.6,4.8
250,"くっき－！",18.2,88.8,37.2,0.9,46.5,2.3,0.9,1.1,1.6
250,"松丸　亮吾",18.2,87.2,6.7,9.3,14.5,8.9,14.0,5.1,0.9
253,"田中　直樹",18.0,93.2,37.9,2.6,25.8,6.4,0.9,0.9,3.3
253,"リリ－・フランキ－",18.0,93.5,9.0,1.6,43.7,5.4,0,8.7,33.1
253,"堀内　健",18.0,93.6,45.1,0.9,32.0,1.9,3.6,0.6,1.2
256,"片桐　仁",17.9,77.0,19.4,1.1,47.4,3.6,0.3,1.1,3.7
256,"ティモンディ",17.9,75.7,24.1,5.4,16.8,4.4,2.8,1.6,0.3
258,"陣内　孝則",17.7,94.9,18.4,3.7,28.0,5.8,0.5,11.2,32.8
