"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
63,"神木　隆之介",31.2,81.2,4.6,12.8,14.5,7.3,11.5,16.9,3.2
63,"佐藤　二朗",31.2,80.5,29.1,1.4,37.9,6.0,2.1,1.0,6.0
63,"タイムマシ－ン３号",31.2,68.5,33.6,1.1,17.6,3.7,2.0,0.6,0.4
67,"サンシャイン池崎",30.9,89.0,34.4,2.4,31.3,4.8,1.0,1.5,1.5
68,"関根　勤",30.5,91.2,36.2,4.9,23.9,9.3,2.0,3.9,11.5
69,"舘　ひろし",30.3,90.2,3.5,7.3,16.7,12.8,0.8,31.0,50.1
70,"役所　広司",30.1,87.9,2.2,3.5,21.5,11.1,0.6,21.1,42.4
70,"安田　顕",30.1,65.0,16.2,2.7,22.3,6.3,1.0,9.0,18.3
72,"小日向　文世",29.9,79.1,7.9,4.1,28.2,9.3,2.0,2.0,17.8
73,"宮川　大輔",29.8,90.0,41.7,1.8,24.3,3.7,1.0,1.7,1.8
74,"笑福亭　鶴瓶",29.5,92.3,38.1,1.1,25.7,10.1,4.1,1.8,10.7
74,"堤　真一",29.5,83.8,7.3,4.5,17.3,8.7,0.7,19.5,33.3
76,"田中　卓志",29.4,85.7,41.6,1.0,29.4,4.9,2.0,1.7,1.5
77,"上田　晋也",29.2,90.2,36.1,1.5,20.4,9.3,0.6,2.5,5.9
78,"吉田　鋼太郎",29.1,82.0,9.1,2.8,25.1,8.3,1.5,13.1,36.5
79,"児嶋　一哉",28.8,80.9,34.0,2.8,19.2,5.1,0.8,1.1,1.7
80,"渡辺　謙",28.5,88.8,1.8,4.1,19.5,11.5,0.3,23.0,44.2
80,"大沢　たかお",28.5,82.6,2.4,7.9,17.0,8.7,1.0,22.6,28.8
82,"玉木　宏",28.4,84.4,2.2,7.7,13.9,7.3,1.1,36.4,28.7
82,"澤部　佑",28.4,85.7,37.5,3.9,19.9,5.3,3.5,1.0,0.8
82,"沢村　一樹",28.4,83.1,14.5,7.7,17.6,5.8,1.1,20.1,23.9
85,"松坂　桃李",28.2,81.9,2.0,13.6,11.7,5.5,2.5,32.9,7.7
86,"高橋　克実",28.1,86.8,25.3,1.3,30.2,5.2,2.7,1.4,13.3
87,"ユ－スケ・サンタマリア",27.9,89.9,28.2,3.2,32.6,5.9,1.0,3.8,9.1
88,"シソンヌ",27.8,71.6,33.3,1.3,20.4,3.7,1.3,1.0,1.8
89,"柴田　英嗣",27.7,79.2,33.1,3.9,17.4,6.0,0.8,3.2,2.4
90,"山里　亮太",27.5,90.3,36.8,2.2,30.5,9.1,2.0,1.3,2.4
91,"菅田　将暉",27.4,86.5,6.3,9.6,29.5,7.9,2.1,23.5,5.9
92,"木梨　憲武",27.2,89.9,29.4,3.1,31.2,7.3,1.0,8.4,15.9
93,"八嶋　智人",27.1,83.3,33.3,2.9,28.2,5.3,1.5,2.0,6.9
94,"草なぎ　剛",26.8,91.9,10.3,5.8,30.1,5.5,2.2,9.3,7.6
94,"江口　洋介",26.8,86.1,2.2,7.2,14.5,7.9,0.4,31.2,34.8
96,"岡村　隆史",26.7,91.7,39.3,2.0,25.6,4.4,2.8,2.2,2.2
97,"オダギリ　ジョ－",26.5,87.9,2.9,3.5,31.7,6.0,0.4,27.0,23.3
98,"伊集院　光",26.4,89.9,26.7,1.4,28.4,13.8,1.0,1.3,4.4
98,"佐藤　健",26.4,79.4,2.7,13.5,13.1,5.2,1.5,38.8,8.3
98,"吉村　崇",26.4,80.8,34.1,2.0,18.8,3.5,0.1,2.1,2.2
101,"吉川　晃司",26.0,84.3,1.7,4.4,19.5,7.4,0.6,28.7,37.2
101,"真田　広之",26.0,72.6,1.1,3.9,18.5,12.2,0.6,24.2,34.4
103,"松平　健",25.8,88.6,5.9,3.9,21.5,11.4,0.6,12.6,29.9
103,"星野　源",25.8,88.3,7.7,8.0,26.7,6.0,1.4,7.9,6.6
103,"斎藤　工",25.8,79.8,4.5,5.1,22.9,6.2,0.4,26.8,27.1
106,"市原　隼人",25.7,80.3,4.8,8.7,23.5,6.2,0.4,25.0,11.1
107,"北村　一輝",25.6,78.4,4.4,3.5,24.6,5.3,0.4,19.0,24.7
107,"角田　晃広",25.6,67.4,30.1,1.5,22.5,3.9,0.7,1.7,3.2
109,"及川　光博",25.4,86.4,9.1,11.4,27.7,4.5,2.1,21.5,16.7
109,"織田　裕二",25.4,89.0,4.4,5.8,19.4,7.4,1.0,18.5,21.6
111,"妻夫木　聡",25.3,86.8,2.5,13.2,13.1,7.3,1.7,32.2,13.5
112,"堂本　剛",25.1,90.3,13.1,5.5,34.7,6.0,2.8,22.5,9.1
112,"佐藤　浩市",25.1,82.2,1.4,4.2,16.7,9.4,0.6,20.9,40.4
112,"松山　ケンイチ",25.1,83.7,5.5,5.1,24.3,7.3,0.8,16.4,11.4
112,"生瀬　勝久",25.1,77.1,12.2,2.5,26.3,5.6,0.8,5.6,18.7
116,"松岡　修造",25.0,89.0,20.5,7.9,29.4,8.8,1.1,6.3,6.3
116,"豊川　悦司",25.0,84.1,2.0,3.1,22.6,6.2,0.8,25.8,38.1
116,"後藤　輝基",25.0,80.6,37.1,1.1,18.5,4.8,0.4,1.5,2.5
119,"二宮　和也",24.9,89.2,10.7,9.7,18.5,6.9,4.2,18.1,4.2
120,"陣内　智則",24.7,87.9,41.4,2.0,17.4,3.2,0.8,2.5,2.4
120,"山口　智充",24.7,84.8,32.0,2.0,23.0,6.0,0.7,3.4,6.7
120,"賀来　賢人",24.7,73.9,11.4,8.1,17.3,6.9,0.7,21.6,5.8
120,"濱田　岳",24.7,72.9,10.3,2.4,29.1,5.8,4.1,1.5,2.1
124,"北大路　欣也",24.4,83.6,1.0,4.4,17.6,13.6,0.3,11.5,37.4
125,"佐々木　蔵之介",24.3,78.8,2.8,7.0,15.3,6.6,0.6,16.7,26.7
126,"仲村　トオル",24.2,82.6,2.7,6.2,14.7,6.3,0.7,25.3,32.6
127,"相葉　雅紀",24.0,87.4,9.3,11.1,13.6,6.7,3.9,15.0,4.2
128,"南原　清隆",23.9,89.3,25.8,3.7,18.5,7.4,1.1,2.4,7.4
128,"小泉　孝太郎",23.9,88.2,5.1,16.4,14.0,8.6,1.4,14.0,8.7
128,"風間　俊介",23.9,75.8,6.3,9.7,15.4,8.7,5.3,8.0,2.9
131,"藤井　隆",23.7,86.2,31.2,5.1,29.2,8.4,2.4,2.5,3.7
132,"今田　耕司",23.5,90.9,34.8,3.5,21.1,4.9,1.1,1.8,3.8
132,"水谷　豊",23.5,87.1,1.7,6.2,19.1,9.0,0.4,11.0,36.0
132,"香川　照之",23.5,84.1,8.6,2.2,27.5,4.1,0.4,4.5,12.8
135,"中井　貴一",23.3,84.8,4.2,4.8,16.7,10.8,0.7,15.0,33.6
135,"ダイアン",23.3,75.1,30.8,1.1,18.4,2.0,1.7,0.6,1.0
137,"あばれる君",23.2,86.9,30.1,1.7,26.8,3.7,1.5,0.8,1.0
137,"山本　耕史",23.2,78.2,9.6,7.2,21.2,5.5,0.7,14.9,14.5
137,"六角　精児",23.2,78.7,13.8,0.7,37.9,5.5,0.3,0.7,6.3
140,"藤岡　弘、",23.0,86.2,7.7,1.5,32.4,9.0,0.6,11.8,22.8
140,"高橋　一生",23.0,78.2,3.5,8.4,20.6,5.5,1.1,19.2,14.0
140,"木村　昴",23.0,69.9,19.8,3.9,21.3,5.5,1.3,7.0,2.9
140,"菊池　風磨",23.0,66.0,17.1,6.6,11.7,2.7,2.7,16.7,2.4
144,"佐藤　隆太",22.6,83.3,8.8,7.7,17.7,7.3,0.7,11.4,9.1
144,"高橋　茂雄",22.6,84.4,32.7,2.8,20.9,4.1,2.7,1.0,1.7
144,"寺島　進",22.6,69.8,5.9,1.1,20.5,7.0,0.7,13.1,22.6
147,"高橋　克典",22.5,83.0,3.9,4.5,13.9,5.5,0.6,23.7,31.0
147,"椎名　桔平",22.5,77.2,2.2,4.9,14.5,6.5,0.4,22.3,30.5
149,"塚地　武雅",22.3,84.7,32.7,1.0,28.8,5.5,2.7,0.7,2.5
149,"東野　幸治",22.3,88.2,31.6,1.1,23.3,4.1,0.7,0.8,3.7
149,"みやぞん",22.3,86.9,30.1,2.4,26.7,3.7,2.4,1.3,1.0
152,"香取　慎吾",22.1,92.1,12.5,4.4,25.1,5.2,3.2,11.8,7.6
152,"古田　新太",22.1,76.4,14.5,1.3,35.1,4.4,0.6,4.6,14.7
154,"土田　晃之",21.9,86.0,30.1,1.8,19.4,5.2,0.6,1.1,3.7
154,"中村　倫也",21.9,69.5,6.5,9.1,15.9,6.2,4.1,19.0,8.3
156,"堂本　光一",21.8,90.0,9.3,11.1,16.9,5.5,3.4,31.6,10.8
157,"田中　直樹",21.6,84.4,32.0,2.1,23.5,3.5,0.6,0.4,2.9
157,"藤森　慎吾",21.6,85.8,26.4,4.8,19.9,3.1,2.2,6.7,2.9
157,"くっき－！",21.6,81.9,33.6,1.1,39.9,1.8,1.3,1.4,1.8
160,"ヒロミ",21.5,90.3,17.0,2.9,25.6,7.4,0.6,5.5,14.6
161,"霜降り明星",21.3,85.5,31.7,1.8,22.8,2.0,1.3,0.8,0.7
161,"吉沢　亮",21.3,69.0,2.1,12.9,10.4,5.3,3.4,27.2,4.9
161,"滝藤　賢一",21.3,62.5,7.2,2.0,30.9,5.2,1.0,6.0,12.8
164,"千原　ジュニア",21.2,89.3,37.1,1.1,25.6,5.1,0.4,2.1,3.7
165,"又吉　直樹",21.1,86.4,15.7,1.7,38.6,6.2,0.8,2.0,4.2
165,"村上　信五",21.1,75.8,26.4,3.4,13.6,5.1,1.5,5.2,2.0
167,"太田　光",20.9,91.3,28.4,2.1,34.8,5.3,1.0,1.5,3.5
167,"桐谷　健太",20.9,75.8,10.4,4.8,20.2,4.8,0.8,16.4,7.0
167,"渡部　篤郎",20.9,77.0,1.4,2.1,19.0,5.8,0.4,14.3,29.4
170,"櫻井　翔",20.8,89.6,5.3,13.3,12.6,9.4,2.9,23.2,5.9
170,"小籔　千豊",20.8,85.3,34.7,1.7,27.8,5.5,0.7,1.1,2.7
170,"横浜　流星",20.8,71.5,1.5,13.6,10.4,5.3,1.5,37.6,5.6
173,"羽鳥　慎一",20.6,83.4,5.8,10.4,11.9,15.2,0.7,3.1,6.7
173,"見取り図",20.6,72.8,27.4,1.0,16.7,2.0,0.7,1.7,0.7
173,"柳楽　優弥",20.6,69.1,2.1,3.8,20.8,4.4,1.3,14.5,4.6
176,"ぺこぱ",20.5,80.9,26.3,2.2,21.2,3.2,1.8,1.4,1.0
177,"陣内　孝則",20.4,86.0,16.2,3.1,23.3,5.8,0.6,13.2,27.8
177,"岡田　圭右",20.4,79.8,27.2,2.5,19.8,2.2,1.0,2.5,2.8
177,"岡部　大",20.4,66.3,26.4,2.9,18.1,2.7,2.2,1.3,0.6
180,"森田　哲矢",20.2,57.2,27.9,0.7,15.6,1.8,0.8,1.0,1.0
181,"草刈　正雄",20.1,79.2,3.2,3.4,16.2,8.3,0.4,15.7,35.8
181,"田中　要次",20.1,77.2,5.5,1.5,32.3,5.3,0.8,5.3,17.0
183,"林　修",19.9,89.2,7.9,3.5,21.2,18.7,0.7,1.3,6.3
183,"要　潤",19.9,82.9,3.7,8.6,15.9,5.1,0.7,22.8,14.5
183,"藤木　直人",19.9,77.7,1.5,12.1,9.7,6.0,1.0,26.3,20.1
186,"カンニング竹山",19.8,89.7,28.2,0.7,28.4,5.5,0.8,1.4,2.1
186,"ティモンディ",19.8,73.9,20.2,3.5,18.1,3.2,1.8,1.8,1.0
186,"山崎　賢人",19.8,71.6,1.4,10.8,8.4,4.1,2.0,31.3,4.5
186,"笹野　高史",19.8,70.2,6.9,1.7,27.4,6.3,1.3,1.4,11.8
190,"田中　裕二",19.7,89.3,29.1,2.0,20.9,5.3,3.7,0.7,2.5
191,"名倉　潤",19.5,87.1,23.6,2.0,22.1,5.8,0.7,1.5,5.6
191,"伊藤　英明",19.5,82.2,2.9,4.2,17.0,3.5,0.6,24.9,20.6
193,"矢部　浩之",19.4,87.8,26.8,2.8,15.7,4.1,0.3,3.1,3.5
193,"浅野　忠信",19.4,79.1,2.0,2.1,22.6,5.9,1.0,21.3,28.5
193,"伊藤　淳史",19.4,78.8,8.3,3.4,25.4,4.5,4.2,2.1,2.8
193,"田村　淳",19.4,91.2,24.0,1.5,25.7,5.9,0.6,3.5,3.5
193,"柄本　明",19.4,73.3,6.2,0.8,29.5,6.0,0.6,3.4,17.7
193,"岡田　将生",19.4,70.5,1.4,11.8,10.5,2.7,3.7,28.7,4.9
199,"加藤　浩次",19.2,88.9,20.4,1.7,20.5,7.2,0.1,3.8,8.4
199,"亀梨　和也",19.2,86.5,2.8,10.7,12.6,4.4,1.3,35.8,7.2
199,"本木　雅弘",19.2,77.0,1.3,6.2,17.3,5.2,0.8,21.9,29.5
202,"井ノ原　快彦",19.1,85.8,7.3,6.5,14.5,7.9,1.1,8.3,10.3
202,"ＥＸＩＴ",19.1,84.7,22.3,3.9,21.6,2.8,2.5,9.1,1.1
202,"津田　健次郎",19.1,41.0,1.7,4.2,11.0,6.0,0.8,16.4,16.9
205,"板尾　創路",19.0,78.9,22.3,1.4,31.0,2.4,0.6,1.7,5.6
206,"向井　理",18.8,82.3,2.1,14.7,12.1,6.0,2.1,30.3,11.7
207,"上川　隆也",18.5,71.9,2.1,6.3,11.7,6.6,0.8,14.7,21.3
208,"山下　智久",18.4,85.4,1.1,12.2,12.2,4.4,2.2,37.2,8.6
208,"リリ－・フランキ－",18.4,82.9,8.4,2.7,29.4,5.8,0.6,6.7,26.5
208,"堀内　健",18.4,84.4,34.7,1.3,30.2,1.8,2.8,1.0,1.4
208,"長谷川　博己",18.4,59.4,1.1,7.0,11.2,5.3,0.4,15.9,19.2
212,"松田　翔太",18.1,73.7,1.7,6.6,21.9,3.1,0.4,21.8,9.4
213,"稲垣　吾郎",18.0,90.7,4.6,7.3,23.7,4.8,1.1,14.3,13.2
213,"ウエンツ　瑛士",18.0,86.9,16.2,8.7,16.2,2.9,5.1,11.7,2.0
213,"平子　祐希",18.0,62.4,23.2,2.1,18.3,2.7,0.4,4.5,6.7
216,"温水　洋一",17.8,83.7,11.8,1.4,37.9,5.3,2.9,1.1,5.8
216,"野村　萬斎",17.8,72.1,1.8,4.4,21.8,7.7,0.7,6.6,17.6
216,"目黒　蓮",17.8,69.0,1.8,13.1,8.1,4.6,3.5,32.3,3.9
219,"長嶋　一茂",17.7,90.2,20.8,2.2,30.6,2.8,0.8,2.9,5.5
220,"生田　斗真",17.6,78.7,2.9,9.0,10.0,3.2,1.1,30.8,6.3
220,"片桐　仁",17.6,59.7,13.8,1.1,30.2,3.5,0.8,1.5,3.8
220,"國村　隼",17.6,57.0,0.6,1.3,15.7,6.6,0.4,4.6,20.9
223,"勝俣　州和",17.4,88.9,23.0,2.5,20.8,4.1,1.5,1.8,2.7
223,"鈴木　福",17.4,84.0,3.5,7.2,14.0,4.6,15.9,4.1,1.3
223,"岸谷　五朗",17.4,74.4,3.9,1.8,19.1,4.4,0.1,7.4,20.5
223,"山田　涼介",17.4,68.4,5.3,10.8,8.1,2.0,7.4,27.4,2.4
223,"佐久間　宜行",17.4,55.9,15.0,0.7,15.0,5.8,0.1,0.7,3.1
228,"哀川　翔",17.3,86.1,6.7,2.5,24.3,5.6,1.0,17.1,25.3
228,"野間口　徹",17.3,60.4,4.6,1.5,27.9,3.5,1.3,1.5,6.3
