"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
63,"阿部　サダヲ",26.8,67.8,17.2,2.7,23.7,5.8,1.4,3.6,6.5
66,"錦鯉",26.4,75.3,34.5,1.4,13.2,2.6,1.9,0.7,2.2
67,"菅田　将暉",26.1,75.1,5.5,7.4,17.5,5.1,1.5,28.5,5.7
67,"ブラックマヨネ－ズ",26.1,76.7,34.8,0.5,12.3,3.1,1.0,0.3,1.2
69,"児嶋　一哉",25.9,70.3,29.0,2.1,9.6,4.3,0.9,1.5,2.1
70,"松本　潤",25.7,77.2,5.7,7.5,10.8,7.0,1.7,32.1,11.7
70,"佐藤　二朗",25.7,68.3,24.2,0.7,24.7,4.3,1.4,1.4,4.8
72,"あばれる君",25.2,77.5,29.0,1.5,15.1,3.1,0.9,0.9,1.7
73,"笑福亭　鶴瓶",25.0,78.0,26.1,1.5,15.8,6.5,2.1,1.9,6.0
74,"相葉　雅紀",24.9,76.3,11.0,10.6,7.4,7.5,5.1,17.2,5.5
75,"香取　慎吾",24.7,76.2,13.2,5.3,15.6,5.1,3.1,17.3,8.2
75,"岡田　准一",24.7,69.0,4.8,7.0,6.0,5.5,1.0,31.7,16.3
75,"堀内　健",24.7,72.0,32.1,1.0,18.5,2.9,0.9,0.7,1.5
78,"山里　亮太",24.4,77.0,30.2,1.0,18.4,7.4,1.4,1.0,2.1
78,"澤部　佑",24.4,75.0,32.6,1.4,12.0,4.3,3.8,1.9,2.1
78,"くっき－！",24.4,72.7,32.8,1.0,26.9,2.7,1.9,1.5,1.7
78,"西島　秀俊",24.4,64.2,2.1,6.5,6.3,6.0,1.0,21.4,25.4
