"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",70.2,96.3,67.5,5.0,34.8,24.8,2.3,6.1,13.1
2,"大谷　翔平",68.9,93.9,5.4,35.2,31.1,35.4,7.3,49.0,13.8
3,"阿部　寛",63.7,95.6,11.3,7.3,44.8,22.1,2.0,45.3,53.1
4,"桑田　佳祐",58.9,95.9,20.0,5.6,48.5,21.7,1.3,26.3,32.2
5,"所　ジョ－ジ",55.2,97.3,50.5,5.7,52.2,20.7,1.5,15.7,28.7
6,"タモリ",55.0,98.0,41.8,5.7,49.6,32.9,1.1,7.8,30.4
7,"大泉　洋",54.7,95.6,54.1,5.8,47.6,12.8,2.4,8.8,15.1
8,"博多華丸・大吉",53.1,93.5,51.9,5.1,26.8,15.7,1.4,4.3,14.7
9,"松重　豊",51.6,88.2,9.6,5.0,41.0,19.1,1.2,13.0,44.2
10,"ビ－トたけし（北野　武）",51.0,98.2,38.8,2.8,52.6,21.9,1.5,13.3,28.6
11,"高田　純次",49.0,95.2,59.7,2.5,45.7,6.8,1.9,9.7,24.0
12,"役所　広司",48.2,95.2,3.8,4.8,37.2,24.2,0.7,27.1,55.2
13,"堺　雅人",48.0,94.5,10.2,11.9,43.2,20.5,1.8,17.4,27.5
14,"明石家　さんま",47.4,97.9,60.7,5.1,42.7,13.1,2.0,9.2,15.4
15,"ナイツ",47.2,90.7,55.5,3.7,29.7,10.7,0.5,1.8,6.7
16,"マツコ・デラックス",47.1,97.5,44.6,2.1,55.4,17.5,2.4,2.8,8.9
17,"内村　光良",44.9,95.7,51.5,5.8,31.1,16.6,2.5,4.4,13.4
18,"飯尾　和樹",44.8,88.4,51.2,1.6,37.0,8.2,1.6,1.9,6.4
19,"中井　貴一",44.4,94.7,10.2,12.9,33.8,21.2,1.0,19.9,50.1
20,"鈴木　亮平",44.2,88.0,8.4,15.1,34.0,20.0,1.0,27.1,22.7
21,"渡辺　謙",44.1,94.9,2.4,5.0,34.5,19.9,0.8,27.9,55.2
21,"ムロツヨシ",44.1,91.9,38.3,2.8,49.8,9.3,2.0,3.1,14.5
23,"西島　秀俊",43.0,89.3,4.6,13.0,30.1,15.8,1.2,33.0,39.5
24,"竹野内　豊",42.9,92.6,5.1,12.0,31.5,13.9,1.4,39.8,44.1
25,"遠藤　憲一",42.4,89.2,13.6,2.4,47.1,11.8,1.8,10.0,34.1
26,"真田　広之",42.3,94.1,2.2,6.0,36.6,19.6,0.5,36.1,53.9
27,"阿部　サダヲ",41.5,90.5,27.8,3.2,52.4,10.6,2.2,3.5,11.4
28,"竹中　直人",41.4,95.3,35.6,2.7,59.1,10.7,2.2,10.0,28.4
28,"千鳥",41.4,92.3,53.3,1.2,34.4,6.6,0.8,2.4,3.9
30,"柳沢　慎吾",41.3,95.1,56.2,2.7,41.0,7.0,3.5,3.3,6.4
31,"福山　雅治",41.1,95.4,13.6,18.5,30.1,13.9,1.3,45.8,36.7
32,"タカアンドトシ",40.7,93.4,53.9,2.0,28.9,7.1,0.7,1.5,3.5
33,"吉川　晃司",40.6,94.9,3.8,6.7,39.0,12.6,1.1,46.5,49.5
34,"バカリズム",40.2,92.1,47.5,2.4,43.6,9.9,2.1,1.9,4.8
35,"さまぁ～ず",39.8,93.4,52.4,3.1,31.3,6.1,0.8,2.4,9.3
36,"山田　孝之",39.5,87.1,11.8,2.1,49.6,11.0,1.0,16.6,18.7
37,"佐藤　浩市",39.3,92.7,3.5,6.5,35.3,16.1,0.7,23.2,52.8
38,"カズレ－ザ－",39.1,95.3,33.1,3.4,45.7,23.3,0.3,4.4,5.1
39,"堤　真一",38.9,89.8,8.1,6.1,32.2,14.3,0.4,21.7,40.5
40,"柳葉　敏郎",38.8,95.4,8.1,4.7,39.3,15.0,0.5,18.5,40.5
41,"唐沢　寿明",37.8,94.0,14.8,10.7,30.8,15.0,0.7,25.3,38.9
42,"笑福亭　鶴瓶",37.7,97.2,50.7,2.7,37.9,11.6,4.4,3.2,13.0
43,"日村　勇紀",37.6,92.6,52.7,1.5,41.4,6.7,3.8,1.2,3.6
44,"舘　ひろし",37.5,96.2,5.4,9.1,33.5,14.5,1.0,38.9,58.5
44,"出川　哲朗",37.5,96.7,51.9,2.0,41.2,7.1,5.9,1.6,3.0
44,"小日向　文世",37.5,87.1,10.2,4.2,42.2,13.5,1.8,4.7,25.3
47,"関根　勤",37.2,95.6,49.4,5.5,35.2,13.7,2.2,3.9,13.4
48,"岡田　准一",36.8,91.9,4.4,11.1,32.7,14.2,0.9,38.0,21.0
49,"小栗　旬",36.3,93.1,4.4,10.8,32.6,13.4,1.6,39.8,24.3
50,"水谷　豊",35.9,96.2,6.8,8.4,41.0,17.7,0.5,16.0,42.7
51,"吉田　鋼太郎",35.6,88.9,10.2,2.7,41.5,11.2,0.8,13.5,43.7
52,"草刈　正雄",35.5,94.1,4.3,7.4,33.2,12.9,0.8,34.1,52.6
53,"高橋　克実",35.3,93.5,22.7,2.6,43.3,10.4,1.1,3.6,20.7
53,"沢村　一樹",35.3,88.3,19.4,8.9,33.1,8.4,0.5,23.0,28.7
53,"チョコレ－トプラネット",35.3,84.7,48.2,1.6,29.5,3.8,1.4,1.5,2.3
56,"秋山　竜次",34.7,90.9,52.5,1.6,45.2,4.3,1.3,1.6,3.8
57,"菅田　将暉",34.5,89.6,6.2,10.3,39.2,8.9,3.1,25.6,6.6
58,"仲村　トオル",34.3,92.9,4.3,8.2,32.4,12.3,0.4,30.0,35.3
59,"小泉　孝太郎",34.2,94.5,7.9,20.2,27.3,13.1,2.3,11.8,8.1
60,"松坂　桃李",34.1,86.6,3.0,17.2,26.6,8.5,2.6,35.0,9.9
61,"北大路　欣也",33.6,93.3,1.8,5.0,33.7,22.1,0.4,17.9,53.7
61,"山崎　弘也",33.6,85.7,51.5,1.4,33.6,4.1,1.9,1.2,2.5
63,"江口　洋介",33.4,94.4,2.5,8.4,30.8,12.0,0.9,36.8,36.5
