"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
65,"向井　理",27.1,84.9,2.5,16.6,6.0,6.8,2.3,37.1,18.4
65,"木村　昴",27.1,76.0,27.3,4.1,18.4,5.6,1.5,11.8,4.4
67,"松下　洸平",26.9,66.9,5.6,15.7,5.4,6.0,3.1,24.8,11.6
68,"春日　俊彰",26.7,88.2,45.1,2.7,18.4,3.9,1.2,1.9,1.5
68,"川島　明",26.7,79.9,35.2,7.2,10.3,11.2,0.2,6.0,7.7
68,"松村　北斗",26.7,64.4,11.2,13.2,9.1,6.0,8.3,29.6,6.4
71,"タカアンドトシ",26.5,87.0,39.7,2.9,9.9,4.4,1.4,0.8,1.0
71,"なかやまきんに君",26.5,87.0,39.5,3.7,19.5,6.6,1.9,2.1,1.2
71,"阿部　サダヲ",26.5,82.4,23.2,2.7,31.1,6.0,1.9,1.7,5.8
74,"星野　源",25.9,87.8,9.3,9.7,24.2,7.9,2.7,9.7,7.0
74,"若林　正恭",25.9,83.4,40.8,4.3,11.2,7.9,3.5,1.0,0.8
76,"宮川　大輔",25.7,87.2,48.5,2.1,16.8,4.3,0.8,1.2,2.3
76,"永瀬　廉",25.7,79.1,7.5,12.2,4.6,3.7,8.1,42.2,4.4
76,"松田　元太",25.7,62.5,24.6,5.0,10.8,2.1,6.4,24.6,2.5
79,"綾野　剛",25.3,86.3,2.9,6.0,19.1,5.2,1.5,28.6,19.5
79,"藤原　竜也",25.3,85.5,9.1,4.8,21.7,7.0,1.4,15.5,12.4
81,"霜降り明星",25.1,85.3,40.0,0.8,15.5,2.7,1.2,1.0,1.0
82,"北村　匠海",25.0,78.3,1.4,7.7,11.2,5.0,8.1,31.9,3.3
82,"吉田　鋼太郎",25.0,80.5,13.0,3.5,16.4,7.2,3.3,11.4,29.2
82,"山田　裕貴",25.0,73.7,12.8,7.7,9.5,5.4,2.1,28.8,4.3
85,"間宮　祥太朗",24.8,77.2,9.5,10.8,7.5,6.8,0.8,33.8,6.8
86,"設楽　統",24.6,83.8,42.6,5.2,8.9,8.5,1.0,4.4,5.8
86,"玉森　裕太",24.6,80.9,4.1,11.8,5.4,3.3,13.3,32.9,5.4
88,"福山　雅治",24.4,87.0,7.4,13.3,7.5,7.5,0.8,33.5,36.2
88,"窪田　正孝",24.4,78.1,2.1,7.7,15.1,4.8,4.8,26.9,7.0
88,"佐久間　大介",24.4,73.9,19.7,6.2,15.3,3.5,12.0,20.1,3.1
91,"高橋　一生",24.2,83.6,4.1,10.3,16.4,4.8,1.9,21.3,20.1
92,"小島　よしお",24.0,87.4,39.5,2.3,19.0,8.7,0.2,1.5,1.2
93,"亀梨　和也",23.6,87.8,3.9,12.0,7.0,6.2,1.5,40.0,13.2
93,"ナイツ",23.6,80.5,38.5,2.7,11.0,6.2,0.2,1.0,3.5
93,"山田　孝之",23.6,81.4,16.4,2.1,29.2,5.6,0.6,16.6,18.0
96,"小峠　英二",23.4,85.9,46.6,1.7,15.3,5.6,1.5,1.2,2.9
96,"大沢　たかお",23.4,76.2,3.1,6.2,9.5,7.0,0.6,20.1,29.2
96,"瀬戸　康史",23.4,73.9,2.1,13.0,5.6,3.1,14.1,27.3,7.0
96,"宮舘　涼太",23.4,67.3,25.5,7.4,16.4,4.6,1.7,15.7,5.2
100,"千葉　雄大",23.2,81.4,8.3,9.3,7.0,3.7,27.5,21.7,2.9
100,"岩田　剛典",23.2,76.8,1.0,10.4,4.6,4.1,6.4,39.7,6.8
100,"安田　顕",23.2,65.4,16.1,2.7,19.0,4.8,1.4,8.3,16.1
103,"ＩＫＫＯ",23.0,89.2,33.3,3.7,32.5,8.9,1.9,1.2,4.6
103,"タモリ",23.0,87.2,17.4,3.5,19.9,16.8,1.2,2.3,10.4
103,"上田　晋也",23.0,87.6,38.9,2.3,9.5,9.9,0.8,1.5,4.3
103,"沢村　一樹",23.0,81.8,12.0,9.9,10.3,5.2,1.0,21.3,26.3
103,"佐藤　勝利",23.0,74.3,2.5,11.6,4.3,3.5,16.8,35.2,2.1
108,"所　ジョ－ジ",22.8,87.4,22.6,3.3,20.9,12.8,1.5,7.7,15.5
108,"ラウ－ル",22.8,78.1,9.5,10.3,13.7,2.7,8.5,34.4,3.9
110,"及川　光博",22.6,77.8,11.2,9.5,16.8,5.2,1.9,20.1,22.6
111,"サンシャイン池崎",22.4,86.7,36.8,1.5,20.1,6.6,1.2,1.0,0.8
111,"ＥＸＩＴ",22.4,85.5,32.9,2.7,16.1,2.3,0.8,9.7,1.4
111,"高橋　海人",22.4,68.1,7.2,8.7,6.0,3.9,14.9,27.1,2.1
114,"大橋　和也",22.2,70.8,19.9,8.3,7.9,4.1,25.5,17.4,1.7
