"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",70.7,98.0,68.5,3.3,28.5,33.4,3.3,4.1,10.9
2,"大谷　翔平",61.9,97.1,3.7,39.0,22.1,41.1,10.4,49.0,13.2
3,"竹野内　豊",59.0,97.2,5.6,17.0,24.7,17.1,2.2,54.8,59.5
4,"阿部　寛",57.9,98.7,11.2,5.8,41.7,22.4,1.6,40.6,57.2
5,"鈴木　亮平",55.8,96.0,9.8,20.3,30.3,28.4,1.6,33.3,30.3
6,"マツコ・デラックス",54.8,99.2,49.4,2.2,61.6,25.1,3.3,2.9,8.0
7,"大泉　洋",54.7,97.8,60.2,4.7,49.8,14.9,3.5,8.6,15.8
8,"博多華丸・大吉",53.7,96.0,50.4,6.8,22.6,25.6,1.5,5.4,17.7
9,"桑田　佳祐",53.6,98.0,19.7,3.1,47.8,23.5,1.7,21.9,32.7
10,"西島　秀俊",50.8,95.3,2.8,15.5,23.5,19.3,2.7,38.8,49.2
11,"中井　貴一",49.4,98.1,12.8,15.9,26.5,28.1,1.5,20.4,56.5
12,"小泉　孝太郎",47.5,98.3,11.3,32.5,19.2,22.2,4.5,22.9,12.5
12,"所　ジョ－ジ",47.5,98.8,49.1,4.4,51.2,24.7,2.4,12.6,24.6
14,"松重　豊",47.1,91.3,11.3,6.1,34.5,24.0,2.2,13.9,45.9
15,"ムロツヨシ",46.7,96.4,46.2,1.2,55.4,11.3,2.3,3.5,12.8
16,"阿部　サダヲ",45.5,95.6,36.1,2.0,60.4,11.5,2.9,3.1,13.0
17,"松坂　桃李",45.4,95.0,2.9,21.8,21.9,12.5,5.8,47.3,12.2
18,"神木　隆之介",45.1,94.9,8.6,23.3,22.7,13.4,21.7,14.8,3.3
19,"横浜　流星",44.7,93.4,2.7,21.9,24.1,11.3,4.2,59.1,9.2
20,"佐藤　健",44.2,92.2,3.6,18.6,22.1,10.1,5.8,56.9,13.7
21,"堺　雅人",44.1,97.2,9.0,11.9,36.3,23.3,2.4,13.2,28.3
22,"三浦　友和",43.7,98.6,0.8,16.2,16.4,26.5,0.9,27.7,62.2
23,"岡田　将生",43.5,91.2,2.0,24.7,17.5,7.7,7.2,50.1,11.6
24,"タモリ",43.1,99.1,34.3,3.3,47.1,34.7,1.4,3.6,22.6
25,"カズレ－ザ－",43.0,98.1,31.3,2.7,46.4,29.9,0.5,5.9,6.1
26,"明石家　さんま",42.7,99.4,61.7,2.9,41.6,14.2,1.2,5.7,10.2
27,"目黒　蓮",42.6,90.7,3.8,29.1,15.5,7.8,13.9,56.8,5.0
28,"中村　倫也",42.3,91.3,12.0,14.7,27.7,11.1,11.2,20.8,10.8
29,"ＤＥＡＮ　ＦＵＪＩＯＫＡ",41.9,95.8,1.7,18.0,29.8,10.5,1.0,51.5,39.7
30,"小栗　旬",41.8,97.8,4.2,10.5,27.9,13.4,1.9,42.5,28.5
31,"妻夫木　聡",41.6,96.5,3.8,18.0,19.3,13.2,4.4,37.5,19.4
32,"山下　智久",41.0,96.2,2.4,17.9,19.8,7.3,5.5,53.6,12.3
32,"チョコレ－トプラネット",41.0,88.7,56.5,1.5,27.6,4.7,2.8,1.4,1.7
34,"唐沢　寿明",40.6,97.6,20.5,10.0,26.3,16.9,0.7,24.4,39.5
34,"役所　広司",40.6,97.9,2.9,4.0,32.1,22.4,1.7,22.1,59.5
34,"賀来　賢人",40.6,93.5,14.2,14.4,29.1,9.9,2.9,34.2,9.9
37,"ＤＡＩＧＯ",40.5,97.9,33.6,15.1,36.7,11.2,7.9,18.7,4.9
38,"福山　雅治",40.4,98.1,13.2,16.9,21.4,12.8,1.5,46.2,37.0
39,"堤　真一",40.3,95.6,10.6,5.2,25.6,14.8,0.9,22.7,48.9
40,"吉沢　亮",40.2,89.9,4.8,22.7,19.0,8.4,7.3,49.0,5.9
41,"飯尾　和樹",39.9,90.6,51.5,0.6,35.5,12.8,3.3,1.3,5.7
42,"反町　隆史",39.7,97.4,1.9,13.6,21.8,11.8,0.8,50.3,45.9
43,"遠藤　憲一",39.6,93.8,19.9,2.2,46.6,13.4,4.0,6.9,34.6
44,"志尊　淳",39.0,87.5,2.7,20.5,21.0,5.8,25.6,42.3,5.4
45,"仲村　トオル",38.9,97.2,2.6,9.5,23.5,13.7,0.8,33.6,49.5
46,"松山　ケンイチ",38.4,95.7,10.1,4.4,41.8,14.1,2.4,15.9,19.1
47,"内村　光良",38.3,98.0,48.5,3.5,26.5,19.7,2.6,2.2,9.8
47,"菅田　将暉",38.3,95.9,6.6,9.5,46.9,9.1,4.0,29.8,5.7
49,"佐々木　蔵之介",38.2,94.6,5.4,10.7,27.8,15.4,0.9,23.1,45.3
50,"相葉　雅紀",38.1,97.6,12.2,17.5,15.1,15.3,12.3,19.6,4.4
