"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/女性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"サンドウィッチマン",54.8,88.1,60.7,2.3,16.4,12.8,2.7,3.7,3.2
2,"チョコレ－トプラネット",49.3,84.0,53.9,1.4,17.4,2.7,1.8,1.8,0.5
3,"マツコ・デラックス",47.9,90.9,48.4,0.9,33.3,16.9,1.8,3.7,8.2
4,"二宮　和也",46.1,81.7,21.9,8.7,15.1,11.0,8.7,27.9,9.1
5,"千鳥",45.7,85.8,53.0,1.8,18.7,4.1,0.9,1.4,1.8
6,"出川　哲朗",43.8,87.2,53.0,1.8,24.7,6.8,5.0,1.8,2.7
7,"目黒　蓮",42.0,86.8,7.3,19.6,7.8,6.8,10.0,53.4,12.3
7,"菊池　風磨",42.0,76.3,33.8,9.1,15.5,6.4,7.3,33.3,6.8
9,"松本　潤",40.6,79.5,14.2,9.1,12.3,9.6,5.5,38.8,11.4
10,"山田　涼介",39.7,75.3,12.3,15.1,8.7,5.9,16.9,44.7,8.7
11,"櫻井　翔",39.3,81.7,11.9,13.7,7.8,13.7,5.0,28.3,12.8
12,"山崎　賢人",38.8,74.9,5.0,11.0,7.3,3.2,5.9,42.0,7.3
12,"横浜　流星",38.8,70.8,2.3,14.6,5.5,3.7,3.7,41.1,6.8
14,"ムロツヨシ",38.4,78.1,35.2,3.7,21.0,6.4,0.9,3.7,9.1
15,"吉沢　亮",37.9,71.7,8.2,16.0,6.4,4.1,5.5,40.2,10.5
16,"平野　紫耀",37.0,76.3,20.5,10.5,12.3,5.5,12.8,46.1,5.5
17,"中島　健人",36.5,71.7,12.3,13.2,9.6,4.6,5.5,42.0,9.6
18,"かまいたち",35.6,82.6,47.5,1.4,15.5,3.7,0.5,0.9,0.5
18,"相葉　雅紀",35.6,78.5,19.6,13.7,8.7,10.5,8.7,20.5,7.3
18,"内村　光良",35.6,74.9,39.3,3.7,11.4,17.8,3.2,2.7,5.5
