"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"男性ﾀﾚﾝﾄ/男性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
64,"ティモンディ",22.9,61.2,26.4,3.1,11.9,3.1,0.4,2.2,0.9
64,"原田　泰造",22.9,59.0,27.8,0.9,7.9,2.6,1.8,4.0,5.7
64,"佐藤　二朗",22.9,52.9,22.0,1.3,20.3,4.8,2.6,1.8,6.2
68,"笑福亭　鶴瓶",22.5,71.4,26.9,1.3,14.1,7.5,1.8,1.3,7.0
68,"ＥＸＩＴ",22.5,70.9,31.7,3.1,14.5,2.6,1.8,7.9,2.6
68,"若林　正恭",22.5,57.7,29.1,1.3,5.7,4.0,1.3,2.2,2.2
68,"菊池　風磨",22.5,52.9,20.7,3.1,8.8,3.1,2.6,18.1,1.8
72,"ビ－トたけし（北野　武）",22.0,77.5,20.3,0.4,13.7,7.5,0.4,4.4,13.2
72,"松岡　修造",22.0,66.5,16.3,0.9,13.2,2.2,0,6.2,6.6
72,"ナイツ",22.0,58.1,28.6,1.8,7.9,3.1,1.3,2.2,4.4
75,"竹内　涼真",21.6,56.8,4.4,5.3,4.4,4.8,2.2,27.8,5.3
75,"目黒　蓮",21.6,58.6,4.0,9.7,4.4,2.6,3.5,33.0,4.8
75,"賀来　賢人",21.6,51.5,13.7,4.4,9.3,4.4,1.3,21.6,7.9
75,"松重　豊",21.6,42.3,6.6,3.1,8.4,3.5,0,7.0,15.0
79,"岡村　隆史",21.1,65.2,29.1,0,10.1,1.3,3.1,2.2,1.3
79,"くっき－！",21.1,63.9,28.2,0,25.6,2.2,0.9,2.6,0
79,"阿部　サダヲ",21.1,49.3,17.2,1.8,16.3,4.0,0.4,4.0,7.5
82,"長嶋　一茂",20.7,65.6,19.8,2.6,14.1,2.2,1.3,1.8,5.7
82,"福山　雅治",20.7,61.7,2.6,7.5,5.7,5.3,0.9,24.2,17.2
84,"小栗　旬",20.3,61.2,4.4,7.0,7.9,6.2,0.9,24.2,18.9
84,"ブラックマヨネ－ズ",20.3,63.0,34.4,0.9,9.7,1.8,0.4,1.3,1.8
84,"児嶋　一哉",20.3,57.3,28.2,0.9,7.9,3.1,1.8,0.9,2.6
84,"横浜　流星",20.3,56.4,3.5,6.6,5.3,1.8,2.2,30.8,4.8
84,"吉沢　亮",20.3,54.6,3.1,5.7,4.0,4.4,2.2,28.2,4.4
89,"松本　潤",19.8,66.1,7.0,4.4,6.2,4.8,2.2,29.5,8.8
90,"ヒロミ",19.4,74.4,17.2,1.3,12.3,7.5,0.9,5.3,10.6
90,"さまぁ～ず",19.4,61.7,26.9,0.9,7.5,3.5,0.9,0.9,5.7
90,"松丸　亮吾",19.4,59.9,8.8,5.3,5.3,6.6,3.5,10.6,2.6
90,"神木　隆之介",19.4,52.4,5.3,6.6,7.0,4.0,3.5,15.4,2.6
90,"山田　涼介",19.4,48.5,4.4,6.2,2.2,3.1,7.0,25.1,2.2
95,"藤原　竜也",18.9,53.3,6.6,2.2,13.7,3.1,1.8,12.3,7.5
96,"西島　秀俊",18.5,44.1,1.8,2.2,5.3,4.4,1.8,14.1,15.9
97,"山田　孝之",18.1,49.3,7.5,1.3,18.1,4.8,0,11.5,8.8
98,"岡部　大",17.6,59.5,30.0,0.4,7.0,3.1,1.3,1.3,1.8
98,"鈴木　福",17.6,63.0,4.8,6.2,7.5,5.3,7.9,7.0,1.8
98,"桑田　佳祐",17.6,51.5,2.6,0.9,7.5,5.3,1.3,9.3,13.2
98,"山田　裕貴",17.6,38.3,5.3,2.6,2.6,4.0,2.2,18.1,3.5
102,"小泉　孝太郎",17.2,57.3,4.8,10.6,6.2,7.0,1.3,7.5,5.7
102,"遠藤　憲一",17.2,51.1,9.3,2.2,12.3,4.4,1.8,5.7,11.5
102,"堀内　健",17.2,54.2,26.0,0.4,12.3,1.8,1.8,1.8,3.1
102,"吉村　崇",17.2,52.9,25.1,2.2,5.3,0.9,0.4,3.1,3.1
102,"中島　健人",17.2,49.8,4.8,5.3,6.6,3.1,2.6,22.9,4.0
102,"綾野　剛",17.2,48.5,2.2,0.4,8.4,2.6,1.3,16.3,12.3
108,"関口　メンディ－",16.7,62.1,19.4,0.9,15.9,1.8,1.3,10.1,2.6
108,"おいでやす小田",16.7,58.1,26.4,2.2,12.8,1.3,0,0.9,2.6
108,"高橋　一生",16.7,44.9,4.4,3.5,7.5,2.2,1.8,13.2,6.6
111,"ミキ",16.3,61.7,26.4,1.3,8.4,2.2,1.8,2.2,1.3
111,"見取り図",16.3,59.5,29.1,1.8,9.3,1.8,0,2.6,1.8
111,"草なぎ　剛",16.3,55.9,6.6,1.3,11.9,5.7,0.4,7.0,5.7
111,"ケンド－コバヤシ",16.3,58.1,26.0,1.3,12.8,2.6,0.9,4.0,4.8
111,"松坂　桃李",16.3,48.5,0.9,3.1,6.2,3.5,0,21.6,6.2
111,"吉田　鋼太郎",16.3,48.5,7.5,1.3,8.8,3.5,0.9,5.7,19.4
111,"津田　健次郎",16.3,33.5,3.1,3.1,7.0,4.0,0.4,13.2,11.5
118,"ニュ－ヨ－ク",15.9,52.0,22.0,1.3,8.8,0.9,0,1.3,0.4
118,"村上　信五",15.9,45.4,17.2,3.1,3.1,1.8,0.9,4.0,2.6
118,"小日向　文世",15.9,36.6,4.8,1.8,9.3,4.4,1.3,2.2,8.8
121,"高橋　茂雄",15.4,58.1,26.9,1.8,8.4,1.8,1.3,1.8,1.8
121,"名倉　潤",15.4,53.3,20.3,1.3,7.0,1.8,1.3,2.2,4.8
121,"風間　俊介",15.4,50.2,10.6,4.8,5.7,7.0,2.2,7.5,3.1
121,"松岡　昌宏",15.4,46.3,3.5,2.6,6.6,6.2,0.4,14.1,8.8
125,"梅沢　富美男",15.0,63.0,15.0,0.9,10.6,4.4,1.3,4.8,14.1
125,"おぎやはぎ",15.0,60.4,26.9,1.8,11.5,1.8,0.9,1.3,5.7
125,"千原　ジュニア",15.0,62.1,26.4,2.2,11.9,2.2,1.8,2.6,2.6
128,"石原　良純",14.5,58.1,13.7,1.3,8.8,6.6,0.4,3.1,6.2
128,"羽鳥　慎一",14.5,52.0,4.8,1.8,3.5,10.1,2.2,3.5,6.2
