"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","1","1","天海祐希","アマミユウキ","58","56.2","8","41"
"2","4","2","サンドウィッチマン","サンドウィッチマン","","55.6","127","42"
"3","3","14","竹野内豊","タケノウチユタカ","54","54","25","35"
"4","","29","桑田佳祐（サザンオールスターズ）","クワタケイスケ（サザンオールスターズ）","69","53.1","1","232"
"5","9","7","北川景子","キタガワケイコ","39","52.9","25","80"
"6","6","9","阿部寛","アベヒロシ","61","52.7","1","40"
"7","15","63","阿部サダヲ","アベサダヲ","55","51.1","176","56"
"8","18","5","綾瀬はるか","アヤセハルカ","40","50.2","8","113"
"9","","43","サザンオールスターズ","サザンオールスターズ","","50","196","156"
"9","2","3","西島秀俊","ニシジマヒデトシ","54","50","226","45"
"9","39","6","横浜流星","ヨコハマリュウセイ","29","50","94","52"
"12","8","10","長澤まさみ","ナガサワマサミ","38","49.6","48","109"
"13","30","45","妻夫木聡","ツマブキサトシ","44","49.1","67","95"
"14","50","36","菅田将暉","スダマサキ","32","48.9","67","335"
"15","5","4","大谷翔平","オオタニショウヘイ","31","48.7","25","339"
"16","18","13","鈴木亮平","スズキリョウヘイ","42","48.4","242","47"
"17","22","174","小芝風花","コシバフウカ","28","47.1","279","123"
"18","34","17","小池栄子","コイケエイコ","45","46.9","8","101"
"18","11","12","中島みゆき","ナカジマミユキ","73","46.9","94","186"
"20","","101","小泉孝太郎","コイズミコウタロウ","47","46.7","48","75"
"20","48","11","伊達みきお（サンドウィッチマン）","ダテミキオ（サンドウィッチマン）","51","46.7","151","78"
"20","61","81","山﨑賢人","ヤマザキケント","31","46.7","268","182"
"20","62","76","山田涼介（Hey! Say! JUMP）","ヤマダリョウスケ（ヘイセイジャンプ）","32","46.7","226","298"
"24","7","33","芦田愛菜","アシダマナ","21","46.2","48","152"
"24","27","14","博多華丸・大吉","ハカタハナマルダイキチ","","46.2","151","133"
"26","43","37","多部未華子","タベミカコ","36","45.6","127","129"
"27","10","24","大泉洋","オオイズミヨウ","52","45.3","8","470"
"27","26","8","マツコ・デラックス","マツコデラックス","53","45.3","25","318"
"27","","26","松任谷由実","マツトウヤユミ","71","45.3","48","198"
"30","38","22","いとうあさこ","イトウアサコ","55","45.1","94","235"
"30","23","","内田有紀","ウチダユキ","50","45.1","94","146"
"32","","20","石田ゆり子","イシダユリコ","56","44.7","25","192"
"32","57","56","バカリズム","バカリズム","49","44.7","324","180"
"34","34","158","斎藤工","サイトウタクミ","44","44.4","151","226"
"34","70","17","博多大吉（博多華丸・大吉）","ハカタダイキチ（ハカタハナマルダイキチ）","54","44.4","196","182"
"36","62","96","相葉雅紀（嵐）","アイバマサキ（アラシ）","42","44.2","48","270"
"36","57","30","阿佐ヶ谷姉妹","アサガヤシマイ","","44.2","196","121"
"36","93","51","内村光良（ウッチャンナンチャン）","ウチムラテルヨシ（ウッチャンナンチャン）","61","44.2","8","218"
"36","187","232","Snow Man","スノーマン","","44.2","475","66"
"40","","37","安住紳一郎","アズミシンイチロウ","52","44","151","226"
"40","17","30","新垣結衣","アラガキユイ","37","44","94","210"
"40","13","117","ディーン・フジオカ","ディーンフジオカ","45","44","94","306"
"43","77","76","今田美桜","イマダミオ","28","43.8","226","129"
"43","161","101","木村拓哉","キムラタクヤ（スマップ）","53","43.8","25","479"
"43","13","14","米津玄師","ヨネヅケンシ","34","43.8","268","156"
"46","93","79","北村匠海（DISH//）","キタムラタクミ（ディッシュ）","28","43.6","226","192"
"46","11","156","佐藤健","サトウタケル","36","43.6","176","251"
"46","","86","鈴木京香","スズキキョウカ","57","43.6","67","280"
"46","62","20","博多華丸（博多華丸・大吉）","ハカタハナマル（ハカタハナマルダイキチ）","55","43.6","210","262"
"46","41","60","松坂桃李","マツザカトオリ","37","43.6","94","125"
"46","77","110","水卜麻美","ミウラアサミ","38","43.6","67","231"
"52","42","60","小栗旬","オグリシュン","42","43.3","8","437"
"52","15","86","吉高由里子","ヨシタカユリコ","37","43.3","94","235"
"54","109","56","堂本光一（DOMOTO（KinKi Kids））","ドウモトコウイチ（ドウモト（キンキキッズ））","46","43.1","48","417"
"54","87","150","松本潤（嵐）","マツモトジュン（アラシ）","42","43.1","67","535"
"54","30","42","松山ケンイチ","マツヤマケンイチ","40","43.1","151","270"
"57","37","72","佐々木蔵之介","ササキクラノスケ","57","42.9","151","114"
"57","33","49","目黒蓮（Snow Man）","メグロレン（スノーマン）","28","42.9","312","376"
"57","87","198","吉沢亮","ヨシザワリョウ","31","42.9","312","83"
"60","39","273","志尊淳","シソンジュン","30","42.7","293","192"
"60","","86","THE ALFEE","ジアルフィー","","42.7","176","251"
"62","74","72","江口のりこ","エグチノリコ","45","42.4","226","267"
"62","20","158","神木隆之介","カミキリュウノスケ","32","42.4","151","196"
"62","","41","タモリ","タモリ","80","42.4","25","479"
"62","","117","所ジョージ","トコロジョージ","70","42.4","25","479"
"62","176","37","中村倫也","ナカムラトモヤ","38","42.4","151","249"
"67","77","86","杉咲花","スギサキハナ","28","42.2","347","123"
"67","","45","MISIA","ミーシャ","47","42.2","127","240"
"69","138","23","賀来賢人","カクケント","36","42","176","178"
"70","23","86","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","41.6","210","186"
"71","","33","稲葉浩志（B’z）","イナバコウシ（ビーズ）","61","41.3","279","158"
"71","62","139","高畑充希","タカハタミツキ","33","41.3","151","226"
"73","55","67","安藤サクラ","アンドウサクラ","39","41.1","293","270"
"73","77","81","伊藤沙莉","イトウサイリ","31","41.1","268","380"
"73","","72","上川隆也","カミカワタカヤ","60","41.1","48","270"
"73","87","63","バナナマン","バナナマン","","41.1","127","218"
"73","","166","三浦友和","ミウラトモカズ","73","41.1","25","412"
"78","116","117","明石家さんま","アカシヤサンマ","70","40.9","8","613"
"78","158","126","イチロー","イチロー","52","40.9","1","564"
"78","59","33","堤真一","ツツミシンイチ","61","40.9","94","158"
"78","205","311","野呂佳代","ノロカヨ","42","40.9","396","135"
"78","43","51","柳楽優弥","ヤギラユウヤ","35","40.9","293","192"
"83","","69","薬師丸ひろ子","ヤクシマルヒロコ","61","40.7","48","229"
"84","","134","小日向文世","コヒナタフミヨ","71","40.4","210","95"
"84","214","232","佐藤栞里","サトウシオリ","35","40.4","257","205"
"84","34","45","Mr.Children","ミスターチルドレン","","40.4","324","255"
"87","46","110","飯尾和樹（ずん）","イイオカズキ（ズン）","56","40.2","279","146"
"87","87","101","カズレーザー（メイプル超合金）","カズレーザー（メイプルチョウゴウキン）","41","40.2","94","473"
"87","","51","B’z","ビーズ","","40.2","293","393"
