"順位","前回","前々回","タレント名","タレント名(全角カナ)","年齢","スコア","認知度","誘引率"
"1","1","2","大谷翔平","オオタニショウヘイ","31","61.1","1","188"
"2","2","5","綾瀬はるか","アヤセハルカ","40","50.2","5","279"
"3","3","17","広瀬すず","ヒロセスズ","27","47.8","55","276"
"4","4","20","中島みゆき","ナカジマミユキ","73","47.1","32","277"
"5","","42","タモリ","タモリ","80","43.8","1","738"
"6","8","39","石原さとみ","イシハラサトミ","38","43.3","19","426"
"7","45","94","天海祐希","アマミユウキ","58","42.7","19","521"
"8","9","8","長澤まさみ","ナガサワマサミ","38","42.4","127","163"
"9","28","49","伊達みきお（サンドウィッチマン）","ダテミキオ（サンドウィッチマン）","51","42.2","87","258"
"10","","39","薬師丸ひろ子","ヤクシマルヒロコ","61","42","3","536"
"11","14","20","北川景子","キタガワケイコ","39","41.8","104","280"
"12","","3","サザンオールスターズ","サザンオールスターズ","","41.6","41","406"
"13","","7","桑田佳祐（サザンオールスターズ）","クワタケイスケ（サザンオールスターズ）","69","41.3","5","415"
"14","","45","ダルビッシュ有","ダルビッシュユウ","39","40.7","10","591"
"15","","32","石川佳純","イシカワカスミ","32","40.4","119","393"
"15","13","1","サンドウィッチマン","サンドウィッチマン","","40.4","66","306"
"17","29","57","堺雅人","サカイマサト","52","40","32","476"
"18","18","45","今田美桜","イマダミオ","28","39.8","206","254"
"18","19","34","広瀬アリス","ヒロセアリス","30","39.8","142","369"
"20","12","11","新垣結衣","アラガキユイ","37","39.3","188","173"
"21","5","6","芦田愛菜","アシダマナ","21","38.7","70","466"
"21","7","26","有村架純","アリムラカスミ","32","38.7","194","179"
"23","23","4","イチロー","イチロー","52","38.2","3","858"
"24","","37","所ジョージ","トコロジョージ","70","38","48","504"
"25","6","9","阿部寛","アベヒロシ","61","37.8","55","452"
"26","9","12","吉岡里帆","ヨシオカリホ","32","37.6","231","193"
"27","11","","内田有紀","ウチダユキ","50","37.3","127","376"
"27","","22","松任谷由実","マツトウヤユミ","71","37.3","87","370"
"29","23","32","浜辺美波","ハマベミナミ","25","37.1","295","184"
"29","","15","森高千里","モリタカチサト","56","37.1","70","430"
"31","20","14","富澤たけし（サンドウィッチマン）","トミザワタケシ（サンドウィッチマン）","51","36.9","97","322"
"31","","26","深田恭子","フカダキョウコ","43","36.9","35","453"
"33","91","89","上白石萌歌","カミシライシモカ","25","36.7","242","232"
"33","60","60","仲間由紀恵","ナカマユキエ","46","36.7","70","430"
"35","15","19","上戸彩","ウエトアヤ","40","36.2","35","604"
"35","20","76","小芝風花","コシバフウカ","28","36.2","344","88"
"37","64","82","バナナマン","バナナマン","","36","55","777"
"38","","82","佐藤浩市","サトウコウイチ","64","35.8","35","652"
"39","60","111","遠藤憲一","エンドウケンイチ","64","35.6","119","459"
"40","","10","石田ゆり子","イシダユリコ","56","35.1","87","480"
"40","22","22","川口春奈","カワグチハルナ","30","35.1","161","449"
"42","42","12","大泉洋","オオイズミヨウ","52","34.9","41","588"
"42","37","39","吉高由里子","ヨシタカユリコ","37","34.9","194","193"
"42","","135","渡辺謙","ワタナベケン","66","34.9","13","954"
"45","","69","山口智子","ヤマグチトモコ","61","34.7","41","750"
"46","37","98","多部未華子","タベミカコ","36","34.2","217","258"
"47","101","190","さまぁ～ず","サマァ～ズ","","34","32","765"
"47","69","78","波瑠","ハル","34","34","224","277"
"49","23","52","竹野内豊","タケノウチユタカ","54","33.6","48","504"
"49","64","54","水卜麻美","ミウラアサミ","38","33.6","78","652"
"51","55","34","真田広之","サナダヒロユキ","65","33.3","55","624"
