"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/女性35～49歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"天海　祐希",58.6,95.3,14.8,24.9,19.4,28.5,6.1,61.0,62.5
2,"阿佐ヶ谷姉妹",57.7,95.3,58.2,6.7,37.0,14.5,6.5,2.3,10.7
3,"北川　景子",55.2,96.1,8.1,32.2,9.2,16.8,35.6,44.0,29.7
4,"長澤　まさみ",54.0,96.3,10.9,25.5,14.5,15.9,39.5,32.0,26.3
5,"綾瀬　はるか",53.8,96.7,21.8,33.9,14.5,16.0,57.5,14.5,20.1
6,"芦田　愛菜",52.4,95.0,5.9,39.0,10.6,36.4,48.7,6.7,3.7
7,"新垣　結衣",50.7,95.8,3.0,38.4,8.2,12.3,63.1,6.8,8.1
8,"小池　栄子",49.6,95.2,34.1,10.3,24.3,22.1,6.7,38.9,31.7
9,"いとう　あさこ",49.3,95.6,63.5,3.3,24.6,18.2,3.9,5.4,8.6
10,"渡辺　直美",47.9,96.3,54.4,3.9,51.2,9.3,12.4,21.6,3.6
11,"松嶋　菜々子",45.6,96.4,1.7,30.2,6.4,15.7,22.1,30.3,60.8
12,"深津　絵里",44.6,93.6,2.3,20.7,20.5,13.2,18.0,28.8,48.7
13,"松　たか子",44.5,96.3,8.6,24.4,15.7,21.9,13.1,21.0,42.8
14,"内田　有紀",44.2,92.8,3.1,19.1,8.7,12.8,32.3,28.1,44.6
15,"石田　ゆり子",43.7,94.2,3.3,27.2,8.7,11.5,32.8,12.3,55.7
16,"吉高　由里子",43.5,93.3,21.3,15.1,32.0,8.4,41.1,11.4,11.5
17,"大久保　佳代子",42.8,94.6,60.0,2.0,30.3,10.6,2.0,4.2,10.3
