"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/女性12～19歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"ガンバレル－ヤ",55.7,87.2,58.9,2.3,25.6,7.3,7.8,1.4,1.8
2,"いとう　あさこ",47.5,85.4,53.4,6.4,16.9,10.5,4.1,3.2,8.2
2,"芦田　愛菜",47.5,78.1,7.8,25.6,9.1,22.8,43.4,8.2,7.3
2,"橋本　環奈",47.5,80.4,16.0,14.2,10.5,9.1,56.6,5.5,5.0
5,"広瀬　すず",43.4,81.7,5.5,15.5,5.0,6.4,51.6,5.9,7.3
6,"今田　美桜",42.9,68.9,6.4,15.5,2.7,6.8,48.4,7.3,7.8
7,"浜辺　美波",42.5,66.7,4.1,16.4,6.4,5.0,41.1,5.9,5.0
8,"長澤　まさみ",41.6,68.0,6.8,15.1,9.6,9.1,22.4,20.1,23.7
9,"北川　景子",39.7,68.0,1.8,16.9,6.4,7.3,21.0,28.8,29.7
10,"綾瀬　はるか",38.4,74.9,5.9,19.6,5.5,9.6,35.6,10.0,16.4
11,"やす子",37.9,91.3,42.0,3.2,21.0,7.3,9.6,0.9,0.9
11,"あの",37.9,87.7,15.5,4.6,38.4,2.3,34.7,6.8,2.3
11,"新垣　結衣",37.9,71.2,2.3,17.4,6.4,6.4,37.0,10.0,11.9
14,"イモトアヤコ",37.4,71.2,39.3,3.7,18.3,5.0,6.4,3.2,1.4
15,"近藤　春菜",36.1,76.7,45.2,2.7,19.2,5.9,4.1,2.3,2.7
15,"広瀬　アリス",36.1,74.0,12.8,9.1,9.1,5.0,33.3,7.3,6.8
17,"阿佐ヶ谷姉妹",35.6,83.1,43.8,2.3,21.5,5.0,3.2,0.9,3.2
17,"渡辺　直美",35.6,80.8,40.2,3.7,32.4,4.6,10.0,9.1,4.6
17,"幾田　りら",35.6,65.3,1.8,7.3,11.4,4.1,22.8,9.6,2.7
20,"石原　さとみ",34.7,72.6,2.3,16.9,5.5,7.3,34.7,11.0,17.4
21,"上白石　萌音",34.2,76.7,5.9,14.6,7.8,10.0,33.3,1.4,5.0
22,"生見　愛瑠",33.8,68.0,8.7,7.3,7.3,1.8,39.3,2.7,3.2
22,"永尾　柚乃",33.8,68.9,12.3,4.1,15.5,4.1,37.4,0.5,1.8
24,"池田　美優",33.3,80.8,14.6,5.5,13.2,6.8,27.9,10.5,4.1
24,"上白石　萌歌",33.3,74.4,2.7,13.2,5.9,4.6,37.9,3.7,5.9
26,"川口　春奈",32.9,68.0,10.5,10.0,5.9,4.6,41.1,4.1,5.9
27,"アン　ミカ",31.1,79.0,31.1,6.8,29.2,9.6,1.4,11.0,14.2
28,"本田　翼",28.8,65.3,1.4,9.1,8.2,3.2,35.6,3.7,4.6
29,"ゆうちゃみ",28.3,70.3,13.2,4.1,10.0,3.2,26.0,4.6,3.2
29,"米倉　涼子",28.3,62.1,3.7,8.2,9.6,7.3,2.7,22.8,24.2
