"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/女性50～69歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
64,"二階堂　ふみ",34.5,92.4,2.8,9.4,34.8,7.2,19.9,15.0,10.7
66,"大竹　しのぶ",34.3,99.0,14.6,4.8,43.1,11.9,9.8,10.0,35.2
66,"近藤　春菜",34.3,97.2,58.8,3.6,32.9,10.0,5.4,2.0,1.5
66,"杉咲　花",34.3,83.1,1.7,17.1,24.2,6.9,36.8,1.7,2.0
66,"浜辺　美波",34.3,83.5,1.6,25.4,10.0,4.5,54.5,2.9,2.2
70,"満島　ひかり",34.2,89.6,5.7,8.1,39.7,6.9,16.9,16.2,10.6
71,"田中　美佐子",34.1,95.5,10.2,5.8,17.2,10.1,8.4,8.0,37.0
72,"小林　聡美",34.0,90.9,16.4,5.7,44.5,12.3,3.8,10.9,23.3
73,"イモトアヤコ",33.9,96.6,49.4,2.9,38.9,10.4,4.0,5.0,2.2
73,"松雪　泰子",33.9,94.9,1.5,10.7,23.3,9.7,4.2,23.7,48.9
75,"永作　博美",33.8,94.2,1.9,12.1,23.7,9.0,24.4,9.3,27.4
75,"広瀬　すず",33.8,95.9,3.1,19.0,15.7,4.0,54.9,5.4,2.9
77,"井森　美幸",33.4,97.4,42.8,4.9,23.2,7.7,9.2,1.9,8.7
77,"柳原　可奈子",33.4,93.4,39.5,6.4,24.2,7.5,25.1,0.9,1.6
79,"風吹　ジュン",33.3,95.1,2.4,6.9,20.3,10.5,13.6,12.7,57.5
80,"大久保　佳代子",33.2,96.0,54.1,1.5,39.1,10.1,1.5,3.0,6.3
81,"清水　ミチコ",32.7,97.8,50.2,1.5,46.7,8.6,1.5,6.9,12.2
82,"真矢　ミキ",32.4,94.8,5.1,9.4,21.8,13.6,2.0,32.6,51.8
83,"井川　遥",32.2,89.9,0.6,18.0,14.8,5.7,15.1,14.0,46.1
84,"吉岡　里帆",32.0,88.9,2.9,21.7,13.4,5.8,37.1,2.4,5.0
85,"柴田　理恵",31.8,97.7,40.7,1.3,41.1,14.2,1.0,3.6,11.8
85,"安田　成美",31.8,96.7,1.2,18.5,19.6,9.8,19.7,8.5,37.4
85,"ＹＯＵ",31.8,97.0,30.5,2.7,57.2,6.2,9.3,15.7,21.1
88,"高嶋　ちさ子",31.4,96.5,34.6,4.2,45.8,9.9,2.1,18.5,12.8
89,"濱田　マリ",31.1,88.8,28.4,2.9,44.8,8.1,4.7,9.1,13.9
90,"松田　聖子",31.0,98.8,2.8,7.6,26.8,5.8,19.4,10.6,25.1
91,"中谷　美紀",30.7,93.6,0.7,13.4,25.5,8.4,4.0,23.3,44.9
92,"原田　知世",30.6,97.2,1.4,24.7,21.1,7.6,20.8,4.2,34.9
92,"余　貴美子",30.6,87.0,2.1,3.7,26.1,13.6,1.7,17.1,48.1
92,"キムラ　緑子",30.6,80.4,10.5,2.6,36.7,12.0,2.2,13.9,34.7
95,"横澤　夏子",30.4,90.9,49.7,2.7,27.7,7.6,4.7,1.6,1.6
96,"榊原　郁恵",30.3,97.7,18.7,6.9,17.3,15.3,11.5,1.9,12.2
96,"上白石　萌音",30.3,91.7,2.4,19.0,17.3,10.6,33.3,2.1,1.6
96,"芳根　京子",30.3,79.6,2.4,20.7,11.9,6.1,39.9,1.2,3.0
99,"水野　美紀",30.2,92.9,8.3,11.2,22.4,9.5,6.5,21.2,29.6
100,"深田　恭子",30.0,96.7,1.0,15.3,21.8,5.0,47.5,4.4,15.5
101,"ヒコロヒ－",29.8,86.1,35.9,1.4,41.9,6.1,1.5,14.0,5.2
102,"水川　あさみ",29.7,89.1,7.5,9.7,26.5,6.8,8.3,17.3,15.4
103,"菜々緒",29.5,93.1,2.9,9.0,29.2,5.7,5.8,48.9,23.5
103,"井上　真央",29.5,88.2,0.8,14.2,14.3,8.1,26.8,3.0,5.8
105,"河合　優実",29.2,60.0,1.0,8.4,30.0,7.0,12.2,10.9,4.9
106,"榮倉　奈々",28.9,90.5,1.3,16.1,17.7,6.8,18.7,19.6,10.8
106,"尾野　真千子",28.9,86.5,8.5,5.2,31.7,9.2,4.0,14.4,21.1
108,"高島　礼子",28.6,96.4,2.8,6.5,16.6,10.0,4.0,26.4,57.4
108,"上白石　萌歌",28.6,91.4,2.4,17.6,15.7,5.5,39.7,2.1,2.2
110,"沢口　靖子",28.4,97.7,2.1,21.3,19.1,13.4,13.7,8.5,37.8
111,"羽田　美智子",28.2,89.6,7.6,14.6,14.8,9.5,7.7,6.2,35.3
111,"麻生　久美子",28.2,84.6,3.4,11.5,18.0,8.8,8.7,14.4,36.1
113,"名取　裕子",28.1,97.2,3.6,5.5,17.3,14.4,2.9,12.6,58.9
114,"宮沢　りえ",27.7,98.4,0.7,9.3,31.2,8.5,9.9,17.9,38.8
115,"賀来　千香子",27.5,96.7,2.4,12.2,17.2,11.1,7.0,14.1,51.7
116,"浅田　美代子",27.4,97.0,14.8,3.7,22.7,5.9,17.2,2.6,25.6
116,"松下　奈緒",27.4,93.5,1.3,23.2,18.0,14.3,6.5,18.4,25.6
116,"橋本　環奈",27.4,92.9,9.1,13.2,16.3,3.3,55.3,3.0,2.1
119,"ホラン　千秋",27.2,95.3,15.4,7.7,34.7,14.6,7.1,15.8,8.4
119,"木村　文乃",27.2,85.1,1.2,15.4,19.1,7.1,19.0,8.3,11.1
119,"ファ－ストサマ－ウイカ",27.2,85.8,31.8,3.4,36.1,4.8,4.9,12.6,4.8
119,"比嘉　愛未",27.2,77.2,1.2,17.0,12.2,6.2,22.9,7.0,12.6
123,"寺島　しのぶ",26.8,95.1,2.4,4.5,35.4,12.9,1.9,19.6,44.2
124,"島崎　和歌子",26.7,95.2,39.3,1.5,26.9,8.0,4.1,3.1,6.9
125,"安達　祐実",26.5,97.7,2.7,7.7,24.7,7.2,31.8,4.7,10.2
125,"川栄　李奈",26.5,81.5,7.0,7.3,16.5,5.6,32.5,1.9,1.4
127,"観月　ありさ",26.3,96.9,3.7,9.8,22.0,4.8,15.0,20.6,19.9
127,"檀　れい",26.3,94.4,0.8,16.9,17.2,8.3,9.1,14.9,51.1
129,"ＬｉＬｉＣｏ",26.2,94.8,27.4,2.1,42.0,10.0,2.0,16.3,12.7
129,"清野　菜名",26.2,74.9,1.0,21.5,14.4,4.8,28.2,13.6,3.0
129,"木南　晴夏",26.2,72.2,8.7,7.8,26.5,6.8,11.9,5.4,6.1
132,"かたせ　梨乃",26.1,97.0,5.0,3.1,25.4,10.4,4.8,20.8,58.4
132,"石田　ひかり",26.1,96.5,2.0,13.3,17.2,8.6,15.1,4.1,26.5
132,"藤本　美貴",26.1,89.5,23.6,5.6,15.1,10.4,17.7,6.5,4.0
135,"鈴木　保奈美",25.8,97.1,2.0,9.5,20.1,6.9,9.3,15.7,42.4
136,"椿　鬼奴",25.7,93.9,49.8,1.0,41.4,4.0,1.5,5.0,5.4
136,"市川　実日子",25.7,70.0,3.6,4.1,38.8,5.6,2.6,15.8,11.9
138,"優香",25.4,92.5,5.0,13.5,10.5,5.9,38.2,2.0,8.0
138,"りょう",25.4,85.1,0.5,5.5,37.6,4.9,1.5,38.6,33.8
138,"中条　あやみ",25.4,79.9,2.4,13.6,12.9,3.0,33.8,9.7,3.8
141,"奈緒",25.1,74.2,2.3,13.0,19.9,5.9,26.0,3.5,2.8
142,"坂井　真紀",25.0,90.0,4.5,7.1,22.9,7.0,10.1,7.1,19.0
143,"片平　なぎさ",24.9,97.1,3.1,6.3,16.3,10.8,5.0,10.9,46.9
143,"大塚　寧々",24.9,91.0,2.0,7.3,22.2,5.5,12.5,8.3,33.8
143,"黒沢　かずこ",24.9,92.7,52.4,0.7,32.5,4.5,4.3,1.3,0.9
146,"中村　アン",24.8,83.9,1.6,13.0,15.0,4.8,16.6,21.0,14.9
147,"市毛　良枝",24.6,95.3,0.7,8.7,12.6,16.2,4.3,4.2,40.6
147,"稲森　いずみ",24.6,92.8,1.2,13.5,15.9,5.9,10.1,15.0,36.9
147,"宮崎　あおい",24.6,94.1,1.0,14.2,19.3,5.9,32.0,3.3,8.1
147,"滝沢　カレン",24.6,90.5,28.3,6.5,36.7,3.3,17.6,7.1,3.3
147,"アン　ミカ",24.6,97.6,25.0,4.7,44.4,9.4,1.0,16.8,20.4
152,"片桐　はいり",24.4,94.4,17.5,1.3,68.2,9.1,0.9,7.9,8.8
152,"麻生　祐未",24.4,84.5,1.3,6.4,15.5,7.9,3.7,9.8,38.0
152,"平岩　紙",24.4,49.2,4.9,3.1,28.9,8.0,2.0,2.9,9.8
155,"森高　千里",24.3,96.7,0.9,15.7,18.4,5.2,26.1,11.5,22.6
155,"趣里",24.3,78.2,2.3,7.6,41.2,4.5,15.1,3.3,2.8
155,"朝日　奈央",24.3,76.1,25.3,5.9,15.6,3.5,14.6,2.0,1.9
155,"福原　遥",24.3,70.2,0.8,15.7,7.0,3.6,42.3,1.2,1.5
159,"浅野　ゆう子",24.2,98.3,5.0,3.7,18.7,7.7,2.3,22.7,53.3
159,"大島　美幸",24.2,95.6,53.8,1.5,31.5,6.9,2.8,2.7,1.3
161,"清原　果耶",24.1,69.4,0.7,27.4,12.3,4.5,28.8,2.9,2.0
162,"高橋　ひとみ",23.9,92.3,5.4,5.1,23.5,7.6,4.4,9.8,49.6
163,"草刈　民代",23.7,94.1,1.7,9.8,27.2,9.4,1.7,25.7,52.3
164,"戸田　菜穂",23.6,82.9,0.6,10.1,16.4,8.5,4.3,6.9,32.2
165,"小雪",23.5,96.4,1.2,10.0,36.4,7.9,2.0,23.6,38.0
166,"菊池　桃子",23.4,96.7,2.0,14.8,14.4,10.6,31.3,1.7,14.4
167,"黒木　瞳",23.3,97.9,1.9,10.4,18.7,7.6,9.7,15.7,53.7
167,"山崎　静代",23.3,90.0,38.6,2.0,43.2,5.6,3.5,5.9,1.5
169,"篠原　涼子",23.2,96.9,5.5,4.8,28.5,4.4,5.8,23.6,30.0
169,"鶴田　真由",23.2,89.8,0.7,14.8,14.9,7.5,10.4,4.2,27.9
171,"樋口　可南子",23.1,94.1,1.0,8.1,21.8,10.5,2.1,18.3,58.2
171,"高畑　淳子",23.1,95.8,13.9,1.6,31.8,11.2,1.4,8.4,30.6
171,"原田　美枝子",23.1,83.6,0.3,4.0,16.5,9.9,2.0,11.4,48.8
174,"佐々木　希",22.9,91.9,1.4,15.4,12.8,6.4,42.8,5.8,5.5
175,"土屋　アンナ",22.7,94.8,12.6,1.7,48.8,5.2,2.1,38.8,14.2
