"2025年7月調査・ﾀﾚﾝﾄｲﾒｰｼﾞ",,,,,,,,,,
"女性ﾀﾚﾝﾄ/女性20～34歳/並び順:人気度",,,,,,,,,,
,,,,,,,,,,
,,,,"イメージ",,,,,,
"順位","タレント名","人気度","知名度","おもしろい","清潔感がある","個性的な","信頼できる","かわいい","カッコいい","大人の魅力がある"
1,"北川　景子",52.6,88.8,7.7,19.3,5.0,14.9,28.2,37.7,35.0
2,"新垣　結衣",51.5,88.8,4.1,27.1,5.8,12.2,53.8,5.0,13.2
3,"長澤　まさみ",46.6,84.9,6.8,17.2,7.7,13.9,31.3,22.8,27.3
4,"芦田　愛菜",45.3,88.0,4.6,27.5,5.2,30.6,38.7,7.2,4.3
5,"戸田　恵梨香",44.7,84.5,8.7,12.0,6.2,9.3,29.4,23.2,19.5
6,"いとう　あさこ",44.5,86.7,53.8,2.9,13.0,11.6,2.9,4.1,6.6
7,"ガンバレル－ヤ",44.1,86.7,51.8,1.4,20.1,6.0,10.4,1.5,1.4
8,"綾瀬　はるか",42.7,85.9,14.1,23.6,11.0,10.6,40.2,8.3,20.3
9,"渡辺　直美",42.6,89.2,52.0,2.7,36.9,8.3,10.8,15.5,4.4
10,"阿佐ヶ谷姉妹",41.8,88.0,48.4,4.6,23.4,8.9,3.5,2.1,6.2
11,"今田　美桜",41.6,79.3,2.9,13.9,4.8,4.4,51.8,4.8,4.1
12,"天海　祐希",41.4,81.6,7.7,10.8,6.6,20.3,1.9,42.0,39.1
13,"石原　さとみ",40.8,86.5,3.1,16.4,5.2,8.9,46.8,11.6,24.0
14,"有村　架純",38.3,86.3,2.7,17.4,3.1,7.7,48.7,1.9,6.0
15,"川口　春奈",38.1,81.4,14.5,15.7,5.4,8.3,43.5,8.1,4.4
16,"吉高　由里子",37.3,80.5,19.9,10.1,18.8,7.2,27.3,9.5,14.1
17,"多部　未華子",36.9,80.7,3.1,13.7,9.3,7.5,31.3,3.5,6.4
18,"橋本　環奈",36.4,89.0,15.5,11.0,5.8,3.5,57.6,4.1,2.7
19,"横澤　夏子",34.0,81.0,43.5,3.9,14.7,8.7,3.3,2.3,2.9
20,"仲　里依紗",33.8,80.3,25.7,4.8,33.1,7.2,15.9,13.7,6.6
21,"大久保　佳代子",32.9,83.9,50.7,2.3,14.9,8.1,1.5,2.1,8.9
22,"伊藤　沙莉",32.7,71.4,15.5,4.8,18.8,5.6,16.1,3.9,1.9
23,"小池　栄子",32.5,79.5,19.5,7.2,10.3,10.3,4.1,20.1,25.1
24,"榮倉　奈々",32.1,79.3,3.3,12.8,4.3,6.8,21.3,17.4,14.3
25,"松嶋　菜々子",31.7,78.5,1.4,14.3,2.7,8.1,9.5,16.1,41.4
